method,scenario,seed,status,K_true_relevant,K_selected,K_absolute_error,K_exact_recovery,selected_features,any_component_selected,joint_test_nrmse,mean_test_rmse,mean_test_r2,pca_joint_test_nrmse,dense_pls_joint_test_nrmse,sparse_regression_joint_test_nrmse,oracle_joint_test_nrmse,runtime_seconds,rmse_Y1,rmse_Y2,rmse_Y3,rmse_Y4,r2_Y1,r2_Y2,r2_Y3,r2_Y4,support_precision,support_recall,support_f1,support_fdr,noise_features_selected,assignment_coverage,ari_signal,nmi_signal,ari_with_noise,mean_group_jaccard,mean_score_correlation,mean_score_r2,mean_loading_cosine,subspace_error,bootstrap_support_jaccard,bootstrap_group_ari
latent_variable_determination,clean_balanced_groups,0,ok,4.0,4.0,0.0,1.0,30.0,1.0,0.3057586690029596,0.5544993188361729,0.6942413309970403,0.30202514562091803,0.30211590612102907,0.3137766298376642,0.2623515842300385,0.1124843630095711,0.5538413475696825,0.5376578447262436,0.6013777818683057,0.5251203011804599,0.6933567360846113,0.7087060792408675,0.6700257886184615,0.7048767200442212,1.0,0.9375,0.967741935483871,0.0,0.0,0.9375,0.9280742459396751,0.9517420318399953,0.8785830409857106,0.9375,0.944795966729002,0.8934845511557964,0.9384229497243344,0.24504442845101518,0.8662627456433075,0.7161724374664599
latent_variable_determination,clean_balanced_groups,1,ok,4.0,4.0,0.0,1.0,31.0,1.0,0.31524406919310344,0.5718916278543011,0.6847559308068966,0.3147672645264046,0.3144157175553745,0.32347728834761524,0.2728342071688523,0.11119129099824931,0.5700668034836736,0.5613145316535231,0.6057550302546543,0.5504301460253538,0.7152673082028727,0.662841226436429,0.6822944124668762,0.6786207761214085,1.0,0.96875,0.9841269841269841,0.0,0.0,0.96875,0.9587217043941412,0.9671434505504625,0.93496117355025,0.96875,0.9680328191945256,0.937116828237754,0.9704567798362153,0.23605752474065106,0.7544996755654431,0.44023141573873215
latent_variable_determination,clean_balanced_groups,2,ok,4.0,4.0,0.0,1.0,30.0,1.0,0.29260426235679726,0.5435704493855915,0.7073957376432027,0.28760048810568095,0.28799275865433877,0.29568954409592774,0.24748612746695114,0.11167720200319309,0.5623222639782606,0.5109895876842214,0.5420791545589037,0.5588907913209803,0.7073809849403161,0.7371104486004046,0.7189742853001021,0.6661172317319879,1.0,0.9375,0.967741935483871,0.0,0.0,0.9375,0.8496605237633366,0.888784111498315,0.8343896705228333,0.8854166666666666,0.9447965069706268,0.8936109401737321,0.9347904606275357,0.23845556910680196,0.8046336206896552,0.560485997560557
latent_variable_determination,clean_balanced_groups,3,ok,4.0,4.0,0.0,1.0,31.0,1.0,0.31856306520311306,0.563003600654558,0.6814369347968869,0.3177279469344603,0.31739807126896963,0.3272995332288599,0.27450466202716955,0.11355326400371268,0.5595510116629364,0.559303539427926,0.581463538751906,0.5516963127754634,0.6787434155282448,0.6689288870337688,0.6834834234455335,0.6945920131800009,1.0,0.96875,0.9841269841269841,0.0,0.0,0.96875,0.8761651131824234,0.9014303516513876,0.8870378277451711,0.9131944444444444,0.9653756687523758,0.9320041322416923,0.9716644868595352,0.24614010977283546,0.8047379032258064,0.5504995269762623
latent_variable_determination,clean_balanced_groups,4,ok,4.0,4.0,0.0,1.0,32.0,1.0,0.2843422948777451,0.5368981159953194,0.715657705122255,0.2841975904621846,0.28351364877799534,0.2908516646396231,0.2469701934919301,0.11654016899410635,0.5298811455374911,0.5308038229727368,0.5598931464279759,0.5270143490430739,0.7074804275087977,0.7318025440241233,0.7075853255434984,0.7157625234126004,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9753997345921082,0.9514085499322116,0.9979297439403474,0.22302532333432779,0.7984879032258065,0.5569118936299285
latent_variable_determination,weak_measurement,0,ok,4.0,4.0,0.0,1.0,32.0,1.0,0.47788585660857297,0.6930829051307106,0.522114143391427,0.4474015433081759,0.4471936148559829,0.4625207228939904,0.2623515842300385,0.10276931899716146,0.7082516871797196,0.6846072867560334,0.7278718685060108,0.6516007780810782,0.4985381323555874,0.5277168163140931,0.5166128389762334,0.5455887859197942,1.0,1.0,1.0,0.0,0.0,1.0,0.6905730129390019,0.7591936621885461,0.8139612801724766,0.7826388888888889,0.5891439737433535,0.35090850098643506,0.6789729456107887,0.5370657564461578,0.9268987857223152,0.35902704399353297
latent_variable_determination,weak_measurement,1,ok,4.0,4.0,0.0,1.0,29.0,1.0,0.4923509753630448,0.7158509951321782,0.5076490246369552,0.4641878512291032,0.4628124902111321,0.47873530647241913,0.2728342071688523,0.10329158398963045,0.7288370502328305,0.6841948223955926,0.7873579965611864,0.6630141113391032,0.5345782077975944,0.4990649028706431,0.46324601227520745,0.533706975604376,1.0,0.90625,0.9508196721311475,0.0,0.0,0.90625,0.7921104536489152,0.8379650287163688,0.7668539721435915,0.8541666666666666,0.7560059788450422,0.5749862624023593,0.8274320162739612,0.5471838491991572,0.9022159450290379,0.6441040921863859
latent_variable_determination,weak_measurement,2,ok,4.0,4.0,0.0,1.0,32.0,1.0,0.43276722135051815,0.6616759313673786,0.5672327786494819,0.42763701011289185,0.4282579333987502,0.4444462679229854,0.24748612746695114,0.1035435670055449,0.6826925499713883,0.6320941947625289,0.6710155955167132,0.660901385218884,0.568697164237516,0.5977344628224421,0.5693882510856147,0.5331112364523545,1.0,1.0,1.0,0.0,0.0,1.0,0.6287083103003501,0.7240288529387309,0.7765446365625159,0.7354166666666666,0.6188201554490182,0.38667580723001044,0.7148295921014962,0.4993957238723962,0.9431251419486714,0.397228126219486
latent_variable_determination,weak_measurement,3,ok,4.0,4.0,0.0,1.0,31.0,1.0,0.4750535076597927,0.6872454153598421,0.5249464923402073,0.46671545298570316,0.46675272870540774,0.49117883912386034,0.27450466202716955,0.10248494498955552,0.70070946260074,0.6824868201307573,0.701919626447882,0.6638657522599893,0.49621105650405906,0.5070365830755625,0.5387607497507096,0.5577775800304979,1.0,0.96875,0.9841269841269841,0.0,0.0,0.96875,0.78839590443686,0.8341244783170079,0.8360414229386022,0.8625,0.8163205859637195,0.6677423655216712,0.906790259857217,0.5268042275200719,0.8899499022482894,0.6025887668717593
latent_variable_determination,weak_measurement,4,ok,4.0,4.0,0.0,1.0,31.0,1.0,0.4511642218199458,0.6760589108328471,0.5488357781800541,0.42745196615744063,0.42339288370945566,0.4367046824512026,0.2469701934919301,0.11839582299580798,0.6488200152072248,0.6579463024142421,0.7085414176386563,0.688927908071265,0.5614223718146427,0.5879333462279632,0.5317051902446805,0.5142822044329303,1.0,0.96875,0.9841269841269841,0.0,0.0,0.96875,0.7196684250188395,0.7981908985307937,0.7959213024219065,0.8034722222222221,0.7662866387010959,0.5901213448038961,0.8569756390568193,0.5155638764075878,0.864810641998735,0.5350867036416914
latent_variable_determination,weak_outcome_relevance,0,ok,4.0,4.0,0.0,1.0,28.0,1.0,0.8165849435137615,0.9152601033843812,0.1834150564862384,0.8110609318622058,0.8128185757643291,0.8308425265304554,0.7996572913497652,0.11330355600512121,0.9359916283066705,0.8825603694240296,0.9843761771778613,0.8581122386289637,0.18318625001702205,0.21397821962987051,0.13207260716159208,0.20442314913646897,1.0,0.875,0.9333333333333333,0.0,0.0,0.875,0.6503067484662577,0.7349577806507054,0.6580934744146663,0.702020202020202,0.8292543643126561,0.7091316871585638,0.8178086675163153,0.2679195017351709,0.925,0.8327262763364148
latent_variable_determination,weak_outcome_relevance,1,ok,4.0,3.0,1.0,0.0,33.0,1.0,0.8519859006343735,0.9229495111593764,0.14801409936562654,0.8317326037750106,0.8450467425272601,0.8520504064799013,0.8178832447587379,0.1099193709960673,0.9376430273040746,0.8710460103732063,0.9949941649563703,0.8881148420038544,0.20144140162393798,0.14030355880767875,0.10825073349245518,0.14206070353843425,0.9696969696969697,1.0,0.9846153846153847,0.030303030303030304,1.0,1.0,0.4684629516227802,0.634252846151132,0.5979459189999297,0.5462962962962964,0.7281930958398356,0.5307109349734768,0.7177100725087019,0.43036039658780406,0.8325260266049739,0.32926668971671014
latent_variable_determination,weak_outcome_relevance,2,ok,4.0,3.0,1.0,0.0,30.0,1.0,0.8343152623558717,0.9043258826698398,0.16568473764412828,0.8079209745044678,0.8181836574247767,0.8174719028152426,0.7917327083149437,0.11135369900148362,1.0029767803244525,0.8138799144577443,0.8986371098650259,0.9018097260321368,0.07029110764117097,0.24218796031131418,0.19078999869840485,0.1594698839256231,1.0,0.9375,0.967741935483871,0.0,0.0,0.9375,0.5696658097686376,0.6819663822481464,0.6727161299250737,0.7518518518518519,0.9024655636889624,0.8153672108732719,0.8605122604659932,0.4953212395505342,0.9088108791903858,0.5602807086108892
latent_variable_determination,weak_outcome_relevance,3,ok,4.0,4.0,0.0,1.0,27.0,1.0,0.8381482512496172,0.8997428544992868,0.16185174875038275,0.8308479295376542,0.8305163902124786,0.8426385553820295,0.8181759693018424,0.10996539299958386,0.8997542804716604,0.8794231308069443,0.9457126615334956,0.8740813451850468,0.14247992380610197,0.1548416830143854,0.16665914127476567,0.18342624690627796,1.0,0.84375,0.9152542372881356,0.0,0.0,0.84375,0.6206619859578736,0.7021311718403067,0.6122924555782114,0.7430555555555556,0.8765421825321179,0.7697941285841744,0.8285301909193382,0.27720512118519214,0.7767137096774194,0.5528001723323824
latent_variable_determination,weak_outcome_relevance,4,ok,4.0,4.0,0.0,1.0,30.0,1.0,0.8109834464116863,0.8769440482926281,0.18901655358831376,0.807442459311657,0.8064384323976844,0.818223509054068,0.7972707183669129,0.10977858700789511,0.8693933962717898,0.8655271692328705,0.8881152087484397,0.8847404189174124,0.16969648713857222,0.20083884615581138,0.18017996407734926,0.2053509169815222,1.0,0.9375,0.967741935483871,0.0,0.0,0.9375,0.9280742459396751,0.9517420318399953,0.8785830409857106,0.9375,0.9508163062853854,0.9049312911701096,0.9372260189034204,0.23485246172192814,0.7406444871405939,0.4384599257400028
latent_variable_determination,outcome_irrelevant_latent_block,0,ok,3.0,3.0,0.0,1.0,20.0,1.0,0.44049108849838986,0.6411168457758674,0.5595089115016101,0.5829647100917589,0.41951164066999114,0.4347772161033656,0.38422627446013163,0.13704481899912935,0.6318723426088356,0.5545880881573184,0.588102958501432,0.7899039938358833,0.5702865445472844,0.6900722081632719,0.6844327173382281,0.29324417595765606,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.8333333333333334,0.6698564593301436,0.7648681234195981,0.7201583124222208,0.7166666666666667,0.8186409238051523,0.6805014375894561,0.8300966199143899,0.28527584948715046,0.95,0.9211134981808513
latent_variable_determination,outcome_irrelevant_latent_block,1,ok,3.0,3.0,0.0,1.0,20.0,1.0,0.4474905181209267,0.6596038322461277,0.5525094818790732,0.5602596552616942,0.43662592626606245,0.4431643535219313,0.39613504979579733,0.13555451499996707,0.5746390197177739,0.5912982683608822,0.634565848124788,0.8379121927810669,0.6740600928953233,0.625859167369006,0.6513544034675118,0.25876426378445205,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.8333333333333334,0.44976076555023925,0.5474860583382751,0.6622600322337149,0.5575757575757576,0.7810240076870884,0.6293131453643456,0.719765544485152,0.2874462278061025,0.9333333333333333,0.8849241420962726
