method,scenario,seed,status,global_search_p,critical_score,n_true_breaks_all,n_true_breaks_slope,n_raw_breaks,n_slope_breaks,segment_ari,segment_nmi,segment_row_accuracy,boundary_displacement,relative_coefficient_error,intercept_error,joint_test_loss_pooled,joint_test_loss_segmented,joint_test_loss_oracle,oracle_improvement_recovered,false_slope_attribution,runtime_seconds,raw_break_precision,raw_break_recall,raw_break_f1,raw_break_fdr,raw_break_count_error,raw_break_exact_set,raw_break_localization_mae,raw_break_localization_median,raw_break_localization_rmse,raw_break_localization_normalized,raw_break_any_detection,slope_break_precision,slope_break_recall,slope_break_f1,slope_break_fdr,slope_break_count_error,slope_break_exact_set,slope_break_localization_mae,slope_break_localization_median,slope_break_localization_rmse,slope_break_localization_normalized,slope_break_any_detection,bootstrap_break_jaccard,bootstrap_any_break_frequency,bootstrap_mean_break_count,bootstrap_detected_break_frequency,bootstrap_location_interval_width,bootstrap_location_ci_coverage,slope_0pct_precision,slope_0pct_recall,slope_0pct_f1,slope_0pct_fdr,slope_0pct_count_error,slope_0pct_exact_set,slope_0pct_localization_mae,slope_0pct_localization_median,slope_0pct_localization_rmse,slope_0pct_localization_normalized,slope_0pct_any_detection,slope_2pct_precision,slope_2pct_recall,slope_2pct_f1,slope_2pct_fdr,slope_2pct_count_error,slope_2pct_exact_set,slope_2pct_localization_mae,slope_2pct_localization_median,slope_2pct_localization_rmse,slope_2pct_localization_normalized,slope_2pct_any_detection,slope_5pct_precision,slope_5pct_recall,slope_5pct_f1,slope_5pct_fdr,slope_5pct_count_error,slope_5pct_exact_set,slope_5pct_localization_mae,slope_5pct_localization_median,slope_5pct_localization_rmse,slope_5pct_localization_normalized,slope_5pct_any_detection
temporal_split_detection,multiple_coefficient_breaks,0,ok,0.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.47037230700969446,0.09792246363546082,0.3872896643460844,0.3872896643460844,0.3463627893470964,0.0,0.0,0.19635805299913045,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0
temporal_split_detection,multiple_coefficient_breaks,1,ok,0.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.3498202957336156,0.061381114253865866,0.3389806490466747,0.3389806490466747,0.2979405447535714,0.0,0.0,0.2562475739978254,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0
temporal_split_detection,multiple_coefficient_breaks,2,ok,0.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.32772003780105285,0.043474160482942475,0.2523172951739471,0.2523172951739471,0.2147353861509982,0.0,0.0,0.21344918399699964,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0
temporal_split_detection,multiple_coefficient_breaks,3,ok,0.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.3388360171224991,0.025362312653239776,0.3077281581920223,0.3077281581920223,0.26204503346082825,0.0,0.0,0.21315863999188878,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0
temporal_split_detection,multiple_coefficient_breaks,4,ok,0.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667,0.3178598174345946,0.056714428244811134,0.31250220740904217,0.31250220740904217,0.25699251266109346,0.0,0.0,0.20398637899779715,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,0.0
temporal_split_detection,weak_coefficient_break,0,ok,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.12060585794933658,0.06244449080932383,0.33572330322897587,0.33572330322897587,0.3330449871780854,0.0,0.0,0.21558379000634886,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0
temporal_split_detection,weak_coefficient_break,1,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.13245648156214349,0.044927149429130536,0.32639755020936345,0.32639755020936345,0.32436213138184916,0.0,0.0,0.26968079000653233,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0
temporal_split_detection,weak_coefficient_break,2,ok,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.09551705325343374,0.026754678202903552,0.24153104291626012,0.24153104291626012,0.23955598262568467,0.0,0.0,0.28320321701176,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0
temporal_split_detection,weak_coefficient_break,3,ok,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1126276637991464,0.032152307026411725,0.28186343939751457,0.28186343939751457,0.2803112849017971,0.0,0.0,0.23434357400401495,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0
temporal_split_detection,weak_coefficient_break,4,ok,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.10788285832978377,0.03027314443037647,0.2850238989738838,0.2850238989738838,0.285609598428221,-0.0,0.0,0.23225647599610966,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0
