method,scenario,seed,status,split_detected,n_true_splits,n_detected_splits,selected_root_feature,root_feature_exact_hit,root_feature_proxy_family_hit,permutation_p,feature_precision,feature_recall,feature_f1,feature_fdr,split_count_absolute_error,threshold_mae_iqr,regime_ari,regime_nmi,regime_row_accuracy,minimum_leaf_fraction,relative_parameter_error,intercept_error,joint_test_loss_pooled,joint_test_loss_partitioned,joint_test_loss_predictive_tree,joint_test_loss_oracle,delta_loss_pooled,oracle_improvement_recovered,rmse,runtime_seconds,bootstrap_support_jaccard,bootstrap_threshold_median,bootstrap_threshold_q05,bootstrap_threshold_q95,bootstrap_leaf_count_mode,bootstrap_root_frequency_X1,bootstrap_root_frequency_X2,bootstrap_root_frequency_X3,bootstrap_root_frequency_X4,bootstrap_root_frequency_X5,bootstrap_root_frequency_X6,bootstrap_root_frequency_X7,bootstrap_root_frequency_X8,bootstrap_root_frequency_X9,bootstrap_root_frequency_X10,bootstrap_root_frequency_X11,bootstrap_root_frequency_X12,bootstrap_root_frequency_X13,bootstrap_root_frequency_X14,bootstrap_root_frequency_X15,bootstrap_root_frequency_X16,bootstrap_root_frequency_X17,bootstrap_root_frequency_X18,bootstrap_root_frequency_X19,bootstrap_root_frequency_X20
causal_model_determination,weak_change,0,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5157142857142857,1.0,0.1426933751776896,0.023337009860483957,0.48948913344432743,0.4894891325053086,0.750571280402648,0.4891106303405224,9.390188071556338e-10,2.4808747873287716e-06,0.6785618460258508,4.9362154670088785,0.1,-0.6587948554396033,-0.8073620110984061,0.6721927896802085,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,1,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5057142857142857,1.0,0.09010953791876149,0.0555113272348412,0.38719576432799707,0.3871957640860518,0.6980078927641712,0.3874288987449572,2.41945297130286e-10,-1.0377931336139555e-06,0.6113481044426318,3.915464798003086,0.6,0.405519473255431,0.405519473255431,0.405519473255431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,2,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5285714285714286,1.0,0.12047701966694045,0.014578788824724293,0.27413559773638524,0.27413559758336553,0.49648344404809386,0.2704854574982793,1.5301970801573361e-10,4.192159698914344e-08,0.5061683452179944,3.5954004539962625,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,3,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5128571428571429,1.0,0.11194508541542784,0.0562702878614362,0.24008750570260115,0.24008750527989328,0.5391572209356786,0.24070303320255804,4.227078687080166e-10,-6.867408340612315e-07,0.5069174610549396,5.079276282005594,0.3,-0.9479874963575114,-1.0613850533968883,-0.8345899393181349,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,weak_change,4,ok,0.0,1.0,0.0,-1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5057142857142857,1.0,0.11646426681815937,0.07892927210402546,0.3265042481778317,0.3265042472990834,0.6913197413544215,0.32913078662924,8.787482963512616e-10,-3.3456517489020185e-07,0.5606151702459902,4.8324219479982276,0.3,-0.38066131675714293,-0.9294543019308636,0.1681316684165778,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,correlated_proxy,0,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.020555857074077557,0.9214879212613134,0.8780187604532287,0.98,0.46285714285714286,0.09432820877101812,0.04902092723873491,0.5456216098437258,0.4758983338310812,0.7772258244499718,0.4719865250804762,0.06972327601264455,0.9468757486572851,0.6983969895458843,2.6509333699941635,0.8,0.01952155544082618,-0.0285449014113685,0.04599572080701586,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,correlated_proxy,1,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.021612178261526217,0.9715920204689724,0.9459108115021346,0.9928571428571429,0.4928571428571429,0.08914555581755365,0.051646028417989064,0.3971972317815929,0.33858376592642375,0.6852156870087004,0.3387608013384382,0.05861346585516913,1.0030295384347045,0.5663080206271568,2.7055106199986767,0.6333333333333333,0.08824963973797197,0.07787459564485018,0.1138614539626442,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,correlated_proxy,2,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.0013233075384495318,1.0,1.0,1.0,0.4685714285714286,0.08741274289555073,0.024698462932644796,0.2977156133093527,0.2575608155371951,0.5373827223295148,0.2574608865694018,0.04015479777215758,0.9975175842469663,0.5012207857735699,2.5613721850095317,0.5,-0.02525796961422461,-0.11032987365469976,0.07760517984768925,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,correlated_proxy,3,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.021386409459606896,0.9491599686339107,0.9135302342136633,0.9871428571428571,0.5,0.07031465417940533,0.028889863620295136,0.2228265365185046,0.19443884952511226,0.5566671019987703,0.1922277352425232,0.028387686993392336,0.9277385325442579,0.459312811986686,2.7870383720000973,0.31999999999999995,-0.04400339128532795,-0.07852136405950856,0.04650892424259325,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causal_model_determination,correlated_proxy,4,ok,1.0,1.0,1.0,4.0,1.0,1.0,0.05,1.0,1.0,1.0,0.0,0.0,0.057444303171432426,0.8514530975108088,0.8015812843182373,0.9614285714285714,0.48142857142857143,0.10194530088080318,0.06538922044406853,0.287009455396854,0.2543699436862683,0.6344542965639675,0.24450614189912678,0.03263951171058571,0.7679286395478563,0.5072002337565306,4.216523495997535,0.8,0.045912273548925006,0.015964314852916352,0.10068191856158708,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
