scenario,task,seed,method,absolute_residual
external_appliances_energy,static_ate,87000000,Pretrained soft router,0.029160274737035086
external_appliances_energy,static_ate,87000000,Pretrained hard top-1,0.08114148886738792
external_appliances_energy,static_ate,87000000,Temperature-scaled router,0.036162493513542004
external_appliances_energy,static_ate,87000000,Uniform expert mean,0.0968045899099253
external_appliances_energy,static_ate,87000000,Median expert,0.0008725651925943767
external_appliances_energy,static_ate,87000000,Best fixed expert,0.08114148886738792
external_appliances_energy,static_ate,87000000,Metadata-only selector,0.08114148886738792
external_appliances_energy,static_ate,87000000,Shallow risk selector,0.08114148886738792
external_appliances_energy,static_ate,87000000,Convex stack,0.04857312656277346
external_appliances_energy,static_ate,87000000,Expert: linear,0.0008725651925943767
external_appliances_energy,static_ate,87000000,Expert: orthogonal,0.643865836543455
external_appliances_energy,static_ate,87000000,Expert: spline,0.10485221655903831
external_appliances_energy,static_ate,87000000,Expert: interaction,0.08114148886738792
external_appliances_energy,static_ate,87000000,Expert: piecewise,0.025278253240003434
external_appliances_energy,static_ate,87000000,Linear g-computation,0.0008867362165742576
external_appliances_energy,static_ate,87000000,Random forest g-computation,0.3288318705848389
external_appliances_energy,static_ate,87000000,Spline g-computation,0.10485221655903831
external_appliances_energy,static_ate,87000000,Interaction g-computation,0.08114148886738792
external_appliances_energy,static_ate,87000000,AIPW,0.643865836543455
external_appliances_energy,static_ate,87000000,DR learner (spline nuisances),0.052894329057215195
external_appliances_energy,static_ate,87000001,Pretrained soft router,0.18736419136341742
external_appliances_energy,static_ate,87000001,Pretrained hard top-1,0.25849081960355513
external_appliances_energy,static_ate,87000001,Temperature-scaled router,0.19293160013259592
external_appliances_energy,static_ate,87000001,Uniform expert mean,0.18426383224164722
external_appliances_energy,static_ate,87000001,Median expert,0.18329228845273726
external_appliances_energy,static_ate,87000001,Best fixed expert,0.25849081960355513
external_appliances_energy,static_ate,87000001,Metadata-only selector,0.25849081960355513
external_appliances_energy,static_ate,87000001,Shallow risk selector,0.1357777902189421
external_appliances_energy,static_ate,87000001,Convex stack,0.18323070737695257
external_appliances_energy,static_ate,87000001,Expert: linear,0.1357777902189421
external_appliances_energy,static_ate,87000001,Expert: orthogonal,0.15835197654401534
external_appliances_energy,static_ate,87000001,Expert: spline,0.18540628638898604
external_appliances_energy,static_ate,87000001,Expert: interaction,0.25849081960355513
external_appliances_energy,static_ate,87000001,Expert: piecewise,0.18329228845273726
external_appliances_energy,static_ate,87000001,Linear g-computation,0.13578652544409742
external_appliances_energy,static_ate,87000001,Random forest g-computation,0.20404048510602196
external_appliances_energy,static_ate,87000001,Spline g-computation,0.18540628638898604
external_appliances_energy,static_ate,87000001,Interaction g-computation,0.25849081960355513
external_appliances_energy,static_ate,87000001,AIPW,0.15835197654401534
external_appliances_energy,static_ate,87000001,DR learner (spline nuisances),0.34468502135302537
external_appliances_energy,static_ate,87000002,Pretrained soft router,0.00925016796030892
external_appliances_energy,static_ate,87000002,Pretrained hard top-1,0.022495770879406296
external_appliances_energy,static_ate,87000002,Temperature-scaled router,0.01861152168366148
external_appliances_energy,static_ate,87000002,Uniform expert mean,0.04872372107921186
external_appliances_energy,static_ate,87000002,Median expert,0.022495770879406296
external_appliances_energy,static_ate,87000002,Best fixed expert,0.022495770879406296
external_appliances_energy,static_ate,87000002,Metadata-only selector,0.022495770879406296
external_appliances_energy,static_ate,87000002,Shallow risk selector,0.15540968818249162
external_appliances_energy,static_ate,87000002,Convex stack,0.07606624762018488
external_appliances_energy,static_ate,87000002,Expert: linear,0.06842943472446855
external_appliances_energy,static_ate,87000002,Expert: orthogonal,0.4425846393626744
external_appliances_energy,static_ate,87000002,Expert: spline,0.15540968818249162
external_appliances_energy,static_ate,87000002,Expert: interaction,0.022495770879406296
external_appliances_energy,static_ate,87000002,Expert: piecewise,0.04736885981975142
external_appliances_energy,static_ate,87000002,Linear g-computation,0.06843786415522163
external_appliances_energy,static_ate,87000002,Random forest g-computation,0.28191111078166875
external_appliances_energy,static_ate,87000002,Spline g-computation,0.15540968818249162
external_appliances_energy,static_ate,87000002,Interaction g-computation,0.022495770879406296
external_appliances_energy,static_ate,87000002,AIPW,0.4425846393626744
external_appliances_energy,static_ate,87000002,DR learner (spline nuisances),0.07291671988457799
external_appliances_energy,static_ate,87000003,Pretrained soft router,0.2954279398560304
external_appliances_energy,static_ate,87000003,Pretrained hard top-1,0.2183110063065929
external_appliances_energy,static_ate,87000003,Temperature-scaled router,0.22845841091698424
external_appliances_energy,static_ate,87000003,Uniform expert mean,0.34695503014225193
external_appliances_energy,static_ate,87000003,Median expert,0.2183110063065929
external_appliances_energy,static_ate,87000003,Best fixed expert,0.17285172092813678
external_appliances_energy,static_ate,87000003,Metadata-only selector,0.17285172092813678
external_appliances_energy,static_ate,87000003,Shallow risk selector,0.20136005628008075
external_appliances_energy,static_ate,87000003,Convex stack,0.2001302227878677
external_appliances_energy,static_ate,87000003,Expert: linear,0.20136005628008075
external_appliances_energy,static_ate,87000003,Expert: orthogonal,0.8573753778924389
external_appliances_energy,static_ate,87000003,Expert: spline,0.2183110063065929
external_appliances_energy,static_ate,87000003,Expert: interaction,0.17285172092813678
external_appliances_energy,static_ate,87000003,Expert: piecewise,0.28487698930401034
external_appliances_energy,static_ate,87000003,Linear g-computation,0.20133941995074994
external_appliances_energy,static_ate,87000003,Random forest g-computation,0.3725137199132208
external_appliances_energy,static_ate,87000003,Spline g-computation,0.2183110063065929
external_appliances_energy,static_ate,87000003,Interaction g-computation,0.17285172092813678
external_appliances_energy,static_ate,87000003,AIPW,0.8573753778924389
external_appliances_energy,static_ate,87000003,DR learner (spline nuisances),0.380666596630613
external_appliances_energy,static_ate,87000004,Pretrained soft router,0.006541527730076158
external_appliances_energy,static_ate,87000004,Pretrained hard top-1,0.05254642105435742
external_appliances_energy,static_ate,87000004,Temperature-scaled router,0.013897342417694802
external_appliances_energy,static_ate,87000004,Uniform expert mean,0.02390163802767381
external_appliances_energy,static_ate,87000004,Median expert,0.02595635318422901
external_appliances_energy,static_ate,87000004,Best fixed expert,0.05254642105435742
external_appliances_energy,static_ate,87000004,Metadata-only selector,0.05254642105435742
external_appliances_energy,static_ate,87000004,Shallow risk selector,0.05254642105435742
external_appliances_energy,static_ate,87000004,Convex stack,0.01624514473047156
external_appliances_energy,static_ate,87000004,Expert: linear,0.031603375438207515
external_appliances_energy,static_ate,87000004,Expert: orthogonal,0.1347154583897649
external_appliances_energy,static_ate,87000004,Expert: spline,0.04298617505694019
external_appliances_energy,static_ate,87000004,Expert: interaction,0.05254642105435742
external_appliances_energy,static_ate,87000004,Expert: piecewise,0.02595635318422901
external_appliances_energy,static_ate,87000004,Linear g-computation,0.03159473466536483
external_appliances_energy,static_ate,87000004,Random forest g-computation,0.2727785927238587
external_appliances_energy,static_ate,87000004,Spline g-computation,0.04298617505694019
external_appliances_energy,static_ate,87000004,Interaction g-computation,0.05254642105435742
external_appliances_energy,static_ate,87000004,AIPW,0.1347154583897649
external_appliances_energy,static_ate,87000004,DR learner (spline nuisances),0.09858016217813192
external_appliances_energy,static_ate,87000005,Pretrained soft router,0.24360520293156318
external_appliances_energy,static_ate,87000005,Pretrained hard top-1,0.15794447280568435
external_appliances_energy,static_ate,87000005,Temperature-scaled router,0.2190631159238956
external_appliances_energy,static_ate,87000005,Uniform expert mean,0.25859171740812614
external_appliances_energy,static_ate,87000005,Median expert,0.23144394375485733
external_appliances_energy,static_ate,87000005,Best fixed expert,0.1977206639210637
external_appliances_energy,static_ate,87000005,Metadata-only selector,0.1977206639210637
external_appliances_energy,static_ate,87000005,Shallow risk selector,0.26380682207745865
external_appliances_energy,static_ate,87000005,Convex stack,0.21725897145120762
external_appliances_energy,static_ate,87000005,Expert: linear,0.26380682207745865
external_appliances_energy,static_ate,87000005,Expert: orthogonal,0.4420426844815667
external_appliances_energy,static_ate,87000005,Expert: spline,0.15794447280568435
external_appliances_energy,static_ate,87000005,Expert: interaction,0.1977206639210637
external_appliances_energy,static_ate,87000005,Expert: piecewise,0.23144394375485733
external_appliances_energy,static_ate,87000005,Linear g-computation,0.26380914331476024
external_appliances_energy,static_ate,87000005,Random forest g-computation,0.34365860636524564
external_appliances_energy,static_ate,87000005,Spline g-computation,0.15794447280568435
external_appliances_energy,static_ate,87000005,Interaction g-computation,0.1977206639210637
external_appliances_energy,static_ate,87000005,AIPW,0.4420426844815667
external_appliances_energy,static_ate,87000005,DR learner (spline nuisances),0.013611254888259428
external_appliances_energy,static_ate,87000006,Pretrained soft router,0.03575895293068054
external_appliances_energy,static_ate,87000006,Pretrained hard top-1,0.11422459144633201
external_appliances_energy,static_ate,87000006,Temperature-scaled router,0.095824917081681
external_appliances_energy,static_ate,87000006,Uniform expert mean,0.007422711360045409
external_appliances_energy,static_ate,87000006,Median expert,0.11230645437281517
external_appliances_energy,static_ate,87000006,Best fixed expert,0.11230645437281517
external_appliances_energy,static_ate,87000006,Metadata-only selector,0.11230645437281517
external_appliances_energy,static_ate,87000006,Shallow risk selector,0.11230645437281517
external_appliances_energy,static_ate,87000006,Convex stack,0.12820689646074446
external_appliances_energy,static_ate,87000006,Expert: linear,0.14984957237284569
external_appliances_energy,static_ate,87000006,Expert: orthogonal,0.47702933739382836
external_appliances_energy,static_ate,87000006,Expert: spline,0.11422459144633201
external_appliances_energy,static_ate,87000006,Expert: interaction,0.11230645437281517
