scenario,seed,probe,original_estimate,transformed_estimate,expected_transformed_estimate,absolute_equivariance_error,relative_equivariance_error
ate_linear,86000000,row_permutation,0.7422803640365601,0.7422803640365601,0.7422803640365601,0.0,0.0
ate_linear,86000000,covariate_permutation,0.7422803640365601,0.7422803640365601,0.7422803640365601,0.0,0.0
ate_linear,86000000,outcome_translation,0.7422803640365601,0.7422803044319153,0.7422803640365601,5.960464477539063e-08,8.029936889514011e-08
ate_linear,86000000,positive_outcome_scaling,0.7422803640365601,1.855700969696045,1.8557009100914001,5.960464477539063e-08,3.2119747558056045e-08
ate_linear,86000000,negative_outcome_scaling,0.7422803640365601,-1.112888216972351,-1.11342054605484,0.0005323290824890137,0.0004781024424016642
ate_linear,86000000,treatment_recoding,0.7422803640365601,-0.7342323660850525,-0.7422803640365601,0.008047997951507568,0.010842261686328503
ate_linear,86000000,irrelevant_feature_insertion,0.7422803640365601,0.7872286438941956,0.7422803640365601,0.0449482798576355,0.060554316179407416
ate_linear,86000000,near_duplicate_feature,0.7422803640365601,0.7368507981300354,0.7422803640365601,0.005429565906524658,0.007314710410764998
ate_linear,86000000,near_constant_feature,0.7422803640365601,0.7424383163452148,0.7422803640365601,0.00015795230865478516,0.00021279332757212128
ate_linear,86000001,row_permutation,-0.04166525602340698,-0.04166525974869728,-0.04166525602340698,3.725290298461914e-09,8.940999417762118e-08
ate_linear,86000001,covariate_permutation,-0.04166525602340698,-0.04166525974869728,-0.04166525602340698,3.725290298461914e-09,8.940999417762118e-08
ate_linear,86000001,outcome_translation,-0.04166525602340698,-0.04166527837514877,-0.04166525602340698,2.2351741790771484e-08,5.364599650657271e-07
ate_linear,86000001,positive_outcome_scaling,-0.04166525602340698,-0.10416315495967865,-0.10416314005851746,1.4901161193847656e-08,1.4305599068419388e-07
ate_linear,86000001,negative_outcome_scaling,-0.04166525602340698,0.06523476541042328,0.062497884035110474,0.002736881375312805,0.043791584588292014
ate_linear,86000001,treatment_recoding,-0.04166525602340698,0.03837098181247711,0.04166525602340698,0.0032942742109298706,0.07906525785127042
ate_linear,86000001,irrelevant_feature_insertion,-0.04166525974869728,-0.04799662157893181,-0.04166525974869728,0.006331361830234528,0.15195781493795885
ate_linear,86000001,near_duplicate_feature,-0.04166525602340698,-0.04211588203907013,-0.04166525602340698,0.00045062601566314697,0.010815390535701769
ate_linear,86000001,near_constant_feature,-0.04166525602340698,-0.04139864444732666,-0.04166525602340698,0.00026661157608032227,0.006398894463303993
ate_linear,86000002,row_permutation,-1.1712156534194946,-1.1712156534194946,-1.1712156534194946,0.0,0.0
ate_linear,86000002,covariate_permutation,-1.1712156534194946,-1.171215534210205,-1.1712156534194946,1.1920928955078125e-07,1.0178252758382835e-07
ate_linear,86000002,outcome_translation,-1.1712156534194946,-1.1712156534194946,-1.1712156534194946,0.0,0.0
ate_linear,86000002,positive_outcome_scaling,-1.1712156534194946,-2.928039073944092,-2.9280391335487366,5.960464477539063e-08,2.0356505516765668e-08
ate_linear,86000002,negative_outcome_scaling,-1.1712156534194946,1.7482080459594727,1.756823480129242,0.008615434169769287,0.004903983961516433
ate_linear,86000002,treatment_recoding,-1.1712156534194946,1.1683982610702515,1.1712156534194946,0.002817392349243164,0.002405528256916199
ate_linear,86000002,irrelevant_feature_insertion,-1.1712156534194946,-1.156938910484314,-1.1712156534194946,0.014276742935180664,0.01218967906849445
ate_linear,86000002,near_duplicate_feature,-1.1712156534194946,-1.171187400817871,-1.1712156534194946,2.8252601623535156e-05,2.412245903736732e-05
ate_linear,86000002,near_constant_feature,-1.1712156534194946,-1.1711715459823608,-1.1712156534194946,4.410743713378906e-05,3.765953520601649e-05
ate_linear,86000003,row_permutation,0.4887802302837372,0.48878028988838196,0.4887802302837372,5.960464477539063e-08,1.2194569477736465e-07
ate_linear,86000003,covariate_permutation,0.4887802302837372,0.4887802302837372,0.4887802302837372,0.0,0.0
ate_linear,86000003,outcome_translation,0.4887802302837372,0.4887802004814148,0.4887802302837372,2.9802322387695312e-08,6.097284738868232e-08
ate_linear,86000003,positive_outcome_scaling,0.4887802302837372,1.221950650215149,1.221950575709343,7.450580596923828e-08,6.097284738868232e-08
ate_linear,86000003,negative_outcome_scaling,0.48878026008605957,-0.727060079574585,-0.7331703901290894,0.0061103105545043945,0.008334093461451099
ate_linear,86000003,treatment_recoding,0.4887802302837372,-0.4856751263141632,-0.4887802302837372,0.0031051039695739746,0.006352760969426812
ate_linear,86000003,irrelevant_feature_insertion,0.4887802302837372,0.4917379319667816,0.4887802302837372,0.0029577016830444336,0.0060511892662423895
ate_linear,86000003,near_duplicate_feature,0.4887802302837372,0.48915332555770874,0.4887802302837372,0.0003730952739715576,0.0007633190764589141
ate_linear,86000003,near_constant_feature,0.4887802302837372,0.4890098571777344,0.4887802302837372,0.00022962689399719238,0.0004697957891297973
ate_linear,86000004,row_permutation,0.9543349742889404,0.9543348550796509,0.9543349742889404,1.1920928955078125e-07,1.2491346619629252e-07
ate_linear,86000004,covariate_permutation,0.9543349742889404,0.9543349742889404,0.9543349742889404,0.0,0.0
ate_linear,86000004,outcome_translation,0.9543349742889404,0.9543349146842957,0.9543349742889404,5.960464477539063e-08,6.245673309814626e-08
ate_linear,86000004,positive_outcome_scaling,0.9543349742889404,2.3858375549316406,2.385837435722351,1.1920928955078125e-07,4.9965386478517005e-08
ate_linear,86000004,negative_outcome_scaling,0.9543349742889404,-1.4331066608428955,-1.4315024614334106,0.0016041994094848633,0.0011206403430690057
ate_linear,86000004,treatment_recoding,0.9543349742889404,-0.9536991119384766,-0.9543349742889404,0.0006358623504638672,0.0006662884286910243
ate_linear,86000004,irrelevant_feature_insertion,0.9543349742889404,0.8863881826400757,0.9543349742889404,0.06794679164886475,0.07119805254909661
ate_linear,86000004,near_duplicate_feature,0.9543349742889404,0.9520900249481201,0.9543349742889404,0.0022449493408203125,0.0023523703954085808
ate_linear,86000004,near_constant_feature,0.9543349742889404,0.9546047449111938,0.9543349742889404,0.00026977062225341797,0.00028267917400221
ate_linear,86000005,row_permutation,0.20055897533893585,0.20055896043777466,0.20055897533893585,1.4901161193847656e-08,7.429815179632499e-08
ate_linear,86000005,covariate_permutation,0.20055897533893585,0.20055896043777466,0.20055897533893585,1.4901161193847656e-08,7.429815179632499e-08
ate_linear,86000005,outcome_translation,0.20055894553661346,0.20055894553661346,0.20055894553661346,0.0,0.0
ate_linear,86000005,positive_outcome_scaling,0.20055897533893585,0.5013973116874695,0.5013974383473396,1.2665987014770508e-07,2.5261371610750496e-07
ate_linear,86000005,negative_outcome_scaling,0.20055897533893585,-0.32730409502983093,-0.3008384630084038,0.026465632021427155,0.0879728999967928
ate_linear,86000005,treatment_recoding,0.20055897533893585,-0.21860551834106445,-0.20055897533893585,0.0180465430021286,0.08998122857194867
ate_linear,86000005,irrelevant_feature_insertion,0.20055897533893585,0.21975652873516083,0.20055897533893585,0.019197553396224976,0.09572024071115219
ate_linear,86000005,near_duplicate_feature,0.20055897533893585,0.19867660105228424,0.20055897533893585,0.0018823742866516113,0.009385639727518958
ate_linear,86000005,near_constant_feature,0.20055897533893585,0.2008945643901825,0.20055897533893585,0.00033558905124664307,0.0016732686766050351
ate_linear,86000006,row_permutation,0.44862300157546997,0.4486229717731476,0.44862300157546997,2.9802322387695312e-08,6.643066067284959e-08
ate_linear,86000006,covariate_permutation,0.44862300157546997,0.4486229121685028,0.44862300157546997,8.940696716308594e-08,1.9929198201854877e-07
ate_linear,86000006,outcome_translation,0.44862300157546997,0.44862303137779236,0.44862300157546997,2.9802322387695312e-08,6.643066067284959e-08
ate_linear,86000006,positive_outcome_scaling,0.44862300157546997,1.121557593345642,1.121557503938675,8.940696716308594e-08,7.97167928074195e-08
