task,scenario,method,mae,mae_sd,standardized_mae,regret,coverage,mean_width,standardized_width,mean_rank,episodes,coverage_ci_low,coverage_ci_high
network_interference,interference_linear,Best fixed expert,0.09547045309246227,0.08224048256188071,0.09272099222817162,0.04512958735019381,0.87,0.37598731807579977,0.36586428837609847,4.546666666666667,300,0.8272195707065882,0.9034246305872476
network_interference,interference_linear,Convex stack,0.12314200939091971,0.09588491403393543,0.11932598169338768,0.07280114364865124,0.9033333333333333,0.4886285865083559,0.47547281913125006,5.746666666666667,300,0.8646182980304887,0.9318497051817106
network_interference,interference_linear,Expert: design_or_null,0.3780424720130307,0.1502028418014253,0.36517663578281384,0.3277016062707623,0.9066666666666666,1.2379434774156228,1.204613261246195,,300,0.8684146029829267,0.934635780421109
network_interference,interference_linear,Expert: interaction,0.09547045309246227,0.08224048256188071,0.09272099222817162,0.04512958735019381,0.87,0.37598731807579977,0.36586428837609847,,300,0.8272195707065882,0.9034246305872476
network_interference,interference_linear,Expert: linear,0.09072061085556044,0.07319593267395552,0.08785751051805821,0.040379745113291975,0.87,0.3527918677064722,0.34329334905195275,,300,0.8272195707065882,0.9034246305872476
network_interference,interference_linear,Expert: orthogonal,0.10635568387328316,0.08281200832706737,0.10342651479237557,0.0560148181310147,0.8866666666666667,0.4128467346966649,0.4017313072451557,,300,0.8458006041283088,0.9177554981247089
network_interference,interference_linear,Expert: piecewise,0.18305038267046542,0.131931634694996,0.17705127886946578,0.13270951692819694,0.8833333333333333,0.7194499550328822,0.7000795855759572,,300,0.8420668566758442,0.9149068653853369
network_interference,interference_linear,Expert: spline,0.22015264387925612,0.18178501722257304,0.21598507789000843,0.16981177813698764,0.8766666666666667,0.9289767026901246,0.9039650645322469,,300,0.8346262759711767,0.9091826857063321
network_interference,interference_linear,Interaction g-computation,0.09547045296828592,0.0822404820064038,0.09272099221059865,0.04512958722601747,0.87,0.37598731807579977,0.36586428837609847,,300,0.8272195707065882,0.9034246305872476
network_interference,interference_linear,Linear g-computation,0.09071915931452477,0.07263963082850598,0.08821998534780474,0.040378293572256314,0.8633333333333333,0.35965543042050463,0.3499721181682769,,300,0.8198445870022494,0.8976348539079136
