scenario,task,seed,method,truth,estimate,absolute_error,standardized_absolute_error,regret_to_episode_oracle,lower,upper,covered,interval_width,standardized_interval_width,answered,nondeployable_oracle,method_rank
external_appliances_energy,static_ate,88000000,Pretrained soft router,0.36805278464305374,0.5513944129646138,0.18334162832156004,0.15912749156539047,0.12076659008863722,0.18809815064282986,0.9146906752863977,1.0,0.7265925246435678,0.6306306259804211,True,False,5.0
external_appliances_energy,static_ate,88000000,Pretrained hard top-1,0.36805278464305374,0.7013617157936096,0.3333089311505559,0.2892884426514735,0.27073389291763306,0.35622618083576263,1.0464972507514565,1.0,0.690271069915694,0.5991061869658648,True,False,9.0
external_appliances_energy,static_ate,88000000,Temperature-scaled router,0.36805278464305374,0.570160552760756,0.2021077681177022,0.1754151659984335,0.13953272988477938,0.22725214523879567,0.9130689602827162,1.0,0.6858168150439206,0.595240210585994,True,False,6.0
external_appliances_energy,static_ate,88000000,Uniform expert mean,0.36805278464305374,0.5386321425437928,0.17057935790073903,0.14805074867106757,0.1080043196678162,0.13761315552442943,0.9396511295631561,1.0,0.8020379740387267,0.6961119093211531,True,False,4.0
external_appliances_energy,static_ate,88000000,Median expert,0.36805278464305374,0.48848414421081543,0.12043135956776169,0.10452585334420707,0.05785632133483887,0.14341365110011617,0.8335546373215147,1.0,0.6901409862213985,0.5989932835725859,True,False,1.5
external_appliances_energy,static_ate,88000000,Best fixed expert,0.36805278464305374,0.5921207070350647,0.22406792239201095,0.19447501779559792,0.16149288415908813,0.2515757097975398,0.9326657042725897,1.0,0.6810899944750498,0.5911376665697224,True,False,7.5
external_appliances_energy,static_ate,88000000,Metadata-only selector,0.36805278464305374,0.5921207070350647,0.22406792239201095,0.19447501779559792,0.16149288415908813,0.2515757097975398,0.9326657042725897,1.0,0.6810899944750498,0.5911376665697224,True,False,7.5
external_appliances_energy,static_ate,88000000,Shallow risk selector,0.36805278464305374,0.48848414421081543,0.12043135956776169,0.10452585334420707,0.05785632133483887,0.14672600968211513,0.8302422787395157,1.0,0.6835162690574006,0.5932435003166617,True,False,1.5
external_appliances_energy,static_ate,88000000,Convex stack,0.36805278464305374,0.518231183202074,0.1501783985590202,0.13034416716366706,0.08760336032609739,0.18552410964956734,0.8509382567545806,1.0,0.6654141471050132,0.577532146137773,True,False,3.0
external_appliances_energy,static_ate,88000000,Expert: linear,0.36805278464305374,0.4805663228034973,0.11251353816044357,0.09765374758871827,0.04993849992752075,0.1549099281646743,0.8062227174423203,1.0,0.651312789277646,0.5652931706291703,True,False,
external_appliances_energy,static_ate,88000000,Expert: orthogonal,0.36805278464305374,0.43062782287597656,0.06257503823292282,0.05431068197534096,0.0,-0.4619438422224871,1.3231994879744402,1.0,1.7851433301969273,1.549377426280445,True,False,
external_appliances_energy,static_ate,88000000,Expert: spline,0.36805278464305374,0.48848414421081543,0.12043135956776169,0.10452585334420707,0.05785632133483887,0.12252023247752941,0.8544480559441014,1.0,0.731927823466572,0.6352612858378072,True,False,
external_appliances_energy,static_ate,88000000,Expert: interaction,0.36805278464305374,0.5921207070350647,0.22406792239201095,0.19447501779559792,0.16149288415908813,0.2515757097975398,0.9326657042725897,1.0,0.6810899944750498,0.5911376665697224,True,False,
