task,scenario,method,mae,mae_sd,standardized_mae,regret,coverage,mean_width,standardized_width,mean_rank,episodes,coverage_ci_low,coverage_ci_high
static_ate,external_appliances_energy,AIPW,0.41721423731647295,0.3966594266612833,0.3768185602632415,0.32506601065689283,0.8933333333333333,1.7851433301969273,1.6142794364122612,,300,0.8532967116826325,0.9234241509540578
static_ate,external_appliances_energy,Best fixed expert,0.17122801476119856,0.13660197583451666,0.1541311293950177,0.07907978810161843,0.8866666666666667,0.6810899944750498,0.6158998853643455,5.25,300,0.8458006041283088,0.9177554981247089
static_ate,external_appliances_energy,Convex stack,0.15967342832395667,0.12784962171452174,0.14382430220272036,0.06752520166437655,0.9033333333333333,0.6654141471050132,0.6017244420653496,4.4,300,0.8646182980304887,0.9318497051817106
static_ate,external_appliances_energy,DR learner (spline nuisances),0.18478705539762222,0.14389598778989746,0.16660063343944265,0.09263882873804209,0.8966666666666666,0.761333193261226,0.6884626558272505,,300,0.8570598275670679,0.9262434152614588
static_ate,external_appliances_energy,Expert: interaction,0.17122801476119856,0.13660197583451666,0.1541311293950177,0.07907978810161843,0.8866666666666667,0.6810899944750498,0.6158998853643455,,300,0.8458006041283088,0.9177554981247089
static_ate,external_appliances_energy,Expert: linear,0.15681729311034226,0.12326480840192261,0.1415369786616381,0.06466906645076216,0.91,0.651312789277646,0.5889727870126996,,300,0.8722229892013517,0.9374097743945206
static_ate,external_appliances_energy,Expert: orthogonal,0.4172142379373547,0.39665942685976513,0.37681856077322207,0.3250660112777745,0.8933333333333333,1.7851433301969273,1.6142794364122612,,300,0.8532967116826325,0.9234241509540578
static_ate,external_appliances_energy,Expert: piecewise,0.18521035804104366,0.1446119080444999,0.16635982946746253,0.09306213138146355,0.9,0.7734225550961917,0.6993948918440525,,300,0.8608335376153785,0.9290520854049847
static_ate,external_appliances_energy,Expert: spline,0.16970692737191712,0.13395640779473836,0.15269063996845286,0.077558700712337,0.9,0.731927823466572,0.6618718028819178,,300,0.8608335376153785,0.9290520854049847
static_ate,external_appliances_energy,Interaction g-computation,0.17122801453768113,0.1366019754711949,0.15413112920869557,0.07907978787810102,0.8866666666666667,0.6810899944750498,0.6158998853643455,,300,0.8458006041283088,0.9177554981247089
static_ate,external_appliances_energy,Linear g-computation,0.1568256567798224,0.1232716923130309,0.1415444594952179,0.06467743012024231,0.91,0.6513132238720686,0.5889731800101848,,300,0.8722229892013517,0.9374097743945206
static_ate,external_appliances_energy,Median expert,0.1627189681123405,0.12882487098050646,0.14644639731251727,0.07057074145276035,0.91,0.6901409862213985,0.6240845670132168,4.83,300,0.8722229892013517,0.9374097743945206
static_ate,external_appliances_energy,Metadata-only selector,0.17122801476119856,0.13660197583451666,0.1541311293950177,0.07907978810161843,0.8866666666666667,0.6810899944750498,0.6158998853643455,5.25,300,0.8458006041283088,0.9177554981247089
static_ate,external_appliances_energy,Oracle: per-cell expert,0.15681729311034226,0.12326480840192261,0.1415369786616381,0.06466906645076216,,,,,300,,
static_ate,external_appliances_energy,Oracle: per-episode expert,0.09214822665958011,0.10060767027776926,0.08274267467479642,0.0,,,,,300,,
static_ate,external_appliances_energy,Pretrained hard top-1,0.17248846128379042,0.1373322436206973,0.15488444891221784,0.0803402346242103,0.8833333333333333,0.690271069915694,0.6242021998268747,5.235,300,0.8420668566758442,0.9149068653853369
static_ate,external_appliances_energy,Pretrained soft router,0.1711832129450266,0.12740366395842154,0.1541529376456673,0.0790349862854465,0.9133333333333333,0.7265925246435678,0.6570471688979675,5.07,300,0.8760440413057516,0.9401711024819569
static_ate,external_appliances_energy,Random forest g-computation,0.25613994032188825,0.0980656624178546,0.2320887748601361,0.1639917136623081,0.93,0.7268215683478375,0.6572542898252274,,300,0.8953639895740667,0.9537630551728237
static_ate,external_appliances_energy,Shallow risk selector,0.1648826284566548,0.1327683832787832,0.14843329865923716,0.0727344017970747,0.9,0.6835162690574006,0.6180939305701983,4.935,300,0.8608335376153785,0.9290520854049847
static_ate,external_appliances_energy,Spline g-computation,0.1697069271483997,0.13395640818331053,0.15269063980596256,0.07755870048881959,0.9,0.731927823466572,0.6618718028819178,,300,0.8608335376153785,0.9290520854049847
static_ate,external_appliances_energy,Temperature-scaled router,0.16192946618158535,0.12906860575956391,0.14573176359370144,0.06978123952200523,0.9,0.6858168150439206,0.620174281215292,4.5633333333333335,300,0.8608335376153785,0.9290520854049847
static_ate,external_appliances_energy,Uniform expert mean,0.1857756136240187,0.1383902619068385,0.16737988155557276,0.09362738696443859,0.9033333333333333,0.8020379740387267,0.7252714035962825,5.466666666666667,300,0.8646182980304887,0.9318497051817106
