scenario,task,seed,method,truth,estimate,absolute_error
ate_linear,static_ate,60000000,Pretrained soft router,0.8749116821869318,0.787924758573546,0.08698692361338578
ate_linear,static_ate,60000000,Pretrained hard top-1,0.8749116821869318,0.7639763355255127,0.11093534666141913
ate_linear,static_ate,60000000,Temperature-scaled router,0.8749116821869318,0.7823084778620102,0.09260320432492164
ate_linear,static_ate,60000000,Uniform expert mean,0.8749116821869318,0.791474449634552,0.08343723255237978
ate_linear,static_ate,60000000,Median expert,0.8749116821869318,0.7919335961341858,0.08297808605274604
ate_linear,static_ate,60000000,Best fixed expert,0.8749116821869318,0.7639763355255127,0.11093534666141913
ate_linear,static_ate,60000000,Metadata-only selector,0.8749116821869318,0.7639763355255127,0.11093534666141913
ate_linear,static_ate,60000000,Shallow risk selector,0.8749116821869318,0.7570579051971436,0.11785377698978827
ate_linear,static_ate,60000000,Convex stack,0.8749116821869318,0.7698419713169303,0.1050697108700015
ate_linear,static_ate,60000000,Expert: linear,0.8749116821869318,0.7570579051971436,0.11785377698978827
ate_linear,static_ate,60000000,Expert: orthogonal,0.8749116821869318,0.816125214099884,0.058786468087047794
ate_linear,static_ate,60000000,Expert: spline,0.8749116821869318,0.7919335961341858,0.08297808605274604
ate_linear,static_ate,60000000,Expert: interaction,0.8749116821869318,0.7639763355255127,0.11093534666141913
ate_linear,static_ate,60000000,Expert: piecewise,0.8749116821869318,0.8282791972160339,0.04663248497089789
ate_linear,static_ate,60000001,Pretrained soft router,0.8644514708526545,0.7488346228092235,0.11561684804343098
ate_linear,static_ate,60000001,Pretrained hard top-1,0.8644514708526545,0.7941351532936096,0.07031631755904488
ate_linear,static_ate,60000001,Temperature-scaled router,0.8644514708526545,0.7979079064512999,0.06654356440135456
ate_linear,static_ate,60000001,Uniform expert mean,0.8644514708526545,0.7036632239818573,0.16078824687079718
ate_linear,static_ate,60000001,Median expert,0.8644514708526545,0.797845184803009,0.06660628604964547
ate_linear,static_ate,60000001,Best fixed expert,0.8644514708526545,0.797845184803009,0.06660628604964547
ate_linear,static_ate,60000001,Metadata-only selector,0.8644514708526545,0.797845184803009,0.06660628604964547
ate_linear,static_ate,60000001,Shallow risk selector,0.8644514708526545,0.8312247395515442,0.03322673130111031
ate_linear,static_ate,60000001,Convex stack,0.8644514708526545,0.8122582378622349,0.05219323299041956
ate_linear,static_ate,60000001,Expert: linear,0.8644514708526545,0.8312247395515442,0.03322673130111031
ate_linear,static_ate,60000001,Expert: orthogonal,0.8644514708526545,0.27063968777656555,0.593811783076089
ate_linear,static_ate,60000001,Expert: spline,0.8644514708526545,0.7941351532936096,0.07031631755904488
ate_linear,static_ate,60000001,Expert: interaction,0.8644514708526545,0.797845184803009,0.06660628604964547
