method,micro_mae,macro_mae,standardized_mae,mean_rank,mean_regret,worst_cell_mae,coverage,coverage_ci_low,coverage_ci_high,mean_width,standardized_width,episodes
AIPW,0.37284203752408396,0.37284203752408396,0.2515058605073922,,0.283866210635,0.5676713295044271,0.9211111111111111,0.9016566143806032,0.9369860398178623,1.8876478826374523,1.2750419493063252,900
Best fixed expert,0.1632676479337598,0.16326764793375978,0.13438560184145001,5.233611111111111,0.09604346354676933,0.30742545522455716,0.8788888888888889,0.8630044612273927,0.8931595538140117,0.6163057408347281,0.5087429563450339,1800
Convex stack,0.14702222608601417,0.1470222260860142,0.12054308633181567,4.865,0.07979804169902376,0.1787906880882123,0.8938888888888888,0.8788128105766971,0.9072873164971379,0.5886036777224579,0.4861278553970206,1800
DR learner (spline nuisances),0.21142976040702433,0.2114297604070243,0.14393877453741405,,0.12245393351794033,0.23370010338829034,0.89,0.8678769386078873,0.9088079469426704,0.8682843387158947,0.6052444421780989,900
Expert: design_or_null,0.3468756157523518,0.34687561575235176,0.3106942820016359,,0.29174769855180416,0.7814969938590298,0.9325,0.9168805719739571,0.9453592125046771,1.1931679552668588,1.0767654309914683,1200
Expert: interaction,0.1632676479337598,0.16326764793375978,0.13438560184145001,,0.09604346354676933,0.30742545522455716,0.8788888888888889,0.8630044612273927,0.8931595538140117,0.6163057408347281,0.5087429563450339,1800
Expert: linear,0.1633780394059059,0.1633780394059059,0.1335356535403295,,0.09615385501891542,0.317655302120037,0.8922222222222222,0.877052247081587,0.9057216453219782,0.6258290270814795,0.5117424970180718,1800
Expert: orthogonal,0.2754722196896578,0.2754722196896578,0.21018056006057365,,0.2082480353026673,0.5676713291505245,0.9038888888888889,0.8893998979807978,0.916657637114658,1.2643428210857746,0.943188749400108,1800
Expert: piecewise,0.17425769355652695,0.17425769355652695,0.1438538561946949,,0.10703350916953651,0.19428769837194657,0.8955555555555555,0.8805744631462304,0.9088518985978749,0.7274170428036294,0.6081090227230349,1800
Expert: spline,0.1915360974772901,0.19153609747729008,0.16295457290088147,,0.12431191309029965,0.23254082414879804,0.8883333333333333,0.8729483784911979,0.9020642996817368,0.7829795157022387,0.671324377120252,1800
Interaction g-computation,0.16326764745897931,0.1632676474589793,0.13438560154668483,,0.09604346307198884,0.3074254542808169,0.8788888888888889,0.8630044612273927,0.8931595538140117,0.6163057209665133,0.5087429379128455,1800
Linear g-computation,0.16311157606098314,0.16311157606098317,0.13341345529668122,,0.09588739167399271,0.31320575454520017,0.8922222222222222,0.877052247081587,0.9057216453219782,0.6248737005476842,0.511118311176405,1800
Median expert,0.15863570636021154,0.15863570636021151,0.13013617976452935,4.833888888888889,0.0914115219732211,0.3029924618094576,0.8883333333333333,0.8729483784911979,0.9020642996817368,0.599196967316313,0.4949054832666155,1800
Metadata-only selector,0.16161244817860487,0.16161244817860485,0.13292357858887754,5.124722222222222,0.09438826379161441,0.30742545522455716,0.8816666666666667,0.8659259470116417,0.8957817924802128,0.6138278109767461,0.5068837628043928,1800
Null shrinkage,0.38651315529068686,0.38651315529068686,0.3591979292051874,,0.34104061340578995,0.7814969938590298,0.94,0.9225348908079263,0.9537249800696259,1.2587278010530059,1.186465116930364,900
Oracle: per-cell expert,0.11677045417661049,0.11677045417661047,0.09087514265791055,,0.049546269789620026,0.16593235265828826,,,,,,1800
Oracle: per-episode expert,0.06722418438699043,0.06722418438699045,0.05231475982669783,,0.0,0.09235666312408543,,,,,,1800
Piecewise exposure-response,0.1684663764188327,0.1684663764188327,0.16292163160344125,,0.12299383453393577,0.18305038279464175,0.91,0.8895191492809631,0.9269957304003924,0.7451038936133574,0.7188902773039544,900
Pretrained hard top-1,0.16274509365846163,0.1627450936584616,0.13353452912237718,5.132777777777778,0.09552090927147118,0.30817784599045256,0.8861111111111111,0.8706058174281995,0.899971881184375,0.6218691186185232,0.5134072360842857,1800
Pretrained soft router,0.16119846591629192,0.16119846591629192,0.13180147556526486,5.055,0.09397428152930144,0.2858841603691141,0.8861111111111111,0.8706058174281995,0.899971881184375,0.6137026512433924,0.5016728750457616,1800
Random forest g-computation,0.3141016076361993,0.31410160763619926,0.2364685550955658,,0.24687742324920883,0.4583168618533142,0.9061111111111111,0.8917584490936895,0.9187340655621264,1.18681459348744,0.9154227553318689,1800
Randomized difference-in-means,0.2279629980003721,0.22796299800037215,0.16518334083256703,,0.14386895485287218,0.22796299800037215,0.91,0.8722229892013517,0.9374097743945206,0.9964884179084182,0.7476663731747802,300
Shallow risk selector,0.14115919086750509,0.14115919086750506,0.11396682628809102,4.473888888888889,0.07393500648051461,0.19130570085913734,0.8883333333333333,0.8729483784911979,0.9020642996817368,0.5744775089864033,0.47053142801607994,1800
Spline g-computation,0.19153609772486668,0.19153609772486666,0.16295457315701492,,0.12431191333787624,0.2325408256885847,0.8883333333333333,0.8729483784911979,0.9020642996817368,0.7829794958340238,0.6713243586880636,1800
Temperature-scaled router,0.15819954833213729,0.1581995483321373,0.1298984750188273,4.9255555555555555,0.09097536394514685,0.2950872592024795,0.8883333333333333,0.8729483784911979,0.9020642996817368,0.5938116025082579,0.48894372384255624,1800
Uniform expert mean,0.16830812461637948,0.16830812461637945,0.13665162745559478,5.355555555555555,0.101083940229389,0.27904207056268093,0.8877777777777778,0.8723625702709451,0.9015413630118997,0.656093658781045,0.5311436372753126,1800
