scenario,task,seed,method,absolute_residual
ate_linear,static_ate,70000004,Best fixed expert,0.25264778055097303
ate_linear,static_ate,70000004,Metadata-only selector,0.25264778055097303
ate_linear,static_ate,70000004,Shallow risk selector,0.19373574174787245
ate_linear,static_ate,70000004,Convex stack,0.2052192531020256
ate_linear,static_ate,70000004,Expert: linear,0.14327945627118788
ate_linear,static_ate,70000004,Expert: orthogonal,0.19373574174787245
ate_linear,static_ate,70000004,Expert: spline,0.25920727170850477
ate_linear,static_ate,70000004,Expert: interaction,0.25264778055097303
ate_linear,static_ate,70000004,Expert: piecewise,0.21760680593396864
ate_linear,static_ate,70000004,Linear g-computation,0.1433361455886064
ate_linear,static_ate,70000004,Random forest g-computation,0.5710766568378112
ate_linear,static_ate,70000004,Spline g-computation,0.25920727170850477
ate_linear,static_ate,70000004,Interaction g-computation,0.25264778055097303
ate_linear,static_ate,70000004,AIPW,0.19373574174787245
ate_linear,static_ate,70000004,DR learner (spline nuisances),0.359794992464032
ate_linear,static_ate,70000005,Pretrained soft router,0.08101801074383319
ate_linear,static_ate,70000005,Pretrained hard top-1,0.16577173018499414
ate_linear,static_ate,70000005,Temperature-scaled router,0.16642174257623293
ate_linear,static_ate,70000005,Uniform expert mean,0.013501222372494126
ate_linear,static_ate,70000005,Median expert,0.16577173018499414
ate_linear,static_ate,70000005,Best fixed expert,0.2010659053330044
ate_linear,static_ate,70000005,Metadata-only selector,0.2010659053330044
ate_linear,static_ate,70000005,Shallow risk selector,0.24885527038618127
ate_linear,static_ate,70000005,Convex stack,0.21195999796896414
ate_linear,static_ate,70000005,Expert: linear,0.24885527038618127
ate_linear,static_ate,70000005,Expert: orthogonal,0.7112728283400913
ate_linear,static_ate,70000005,Expert: spline,0.16577173018499414
ate_linear,static_ate,70000005,Expert: interaction,0.2010659053330044
ate_linear,static_ate,70000005,Expert: piecewise,0.1630860342983822
ate_linear,static_ate,70000005,Linear g-computation,0.24887209785898579
ate_linear,static_ate,70000005,Random forest g-computation,0.0778987441223832
ate_linear,static_ate,70000005,Spline g-computation,0.16577173018499414
ate_linear,static_ate,70000005,Interaction g-computation,0.2010659053330044
ate_linear,static_ate,70000005,AIPW,0.7112728283400913
ate_linear,static_ate,70000005,DR learner (spline nuisances),0.2914600155315657
ate_linear,static_ate,70000006,Pretrained soft router,0.04113205846976786
ate_linear,static_ate,70000006,Pretrained hard top-1,0.11915762393297058
ate_linear,static_ate,70000006,Temperature-scaled router,0.07217109377001285
ate_linear,static_ate,70000006,Uniform expert mean,0.02172849147142264
ate_linear,static_ate,70000006,Median expert,0.04144282309831482
ate_linear,static_ate,70000006,Best fixed expert,0.08358712165178162
ate_linear,static_ate,70000006,Metadata-only selector,0.08358712165178162
ate_linear,static_ate,70000006,Shallow risk selector,0.038824963881360475
ate_linear,static_ate,70000006,Convex stack,0.08522940642335985
ate_linear,static_ate,70000006,Expert: linear,0.11915762393297058
ate_linear,static_ate,70000006,Expert: orthogonal,0.0967201474445929
ate_linear,static_ate,70000006,Expert: spline,0.04144282309831482
ate_linear,static_ate,70000006,Expert: interaction,0.08358712165178162
ate_linear,static_ate,70000006,Expert: piecewise,0.038824963881360475
ate_linear,static_ate,70000006,Linear g-computation,0.11910485454771846
ate_linear,static_ate,70000006,Random forest g-computation,0.9047522136738868
ate_linear,static_ate,70000006,Spline g-computation,0.04144282309831482
ate_linear,static_ate,70000006,Interaction g-computation,0.08358712165178162
ate_linear,static_ate,70000006,AIPW,0.0967201474445929
ate_linear,static_ate,70000006,DR learner (spline nuisances),0.3728896875646197
ate_linear,static_ate,70000007,Pretrained soft router,0.18966017928071455
ate_linear,static_ate,70000007,Pretrained hard top-1,0.16921869082827168
ate_linear,static_ate,70000007,Temperature-scaled router,0.17647817054942394
ate_linear,static_ate,70000007,Uniform expert mean,0.20159586234469018
ate_linear,static_ate,70000007,Median expert,0.1895469741382082
ate_linear,static_ate,70000007,Best fixed expert,0.15437165065188008
ate_linear,static_ate,70000007,Metadata-only selector,0.15437165065188008
ate_linear,static_ate,70000007,Shallow risk selector,0.16921869082827168
ate_linear,static_ate,70000007,Convex stack,0.17476732745652812
ate_linear,static_ate,70000007,Expert: linear,0.16921869082827168
ate_linear,static_ate,70000007,Expert: orthogonal,0.2911399917163332
ate_linear,static_ate,70000007,Expert: spline,0.20370200438875752
ate_linear,static_ate,70000007,Expert: interaction,0.15437165065188008
ate_linear,static_ate,70000007,Expert: piecewise,0.1895469741382082
ate_linear,static_ate,70000007,Linear g-computation,0.16927241680670801
ate_linear,static_ate,70000007,Random forest g-computation,0.34793870470316146
ate_linear,static_ate,70000007,Spline g-computation,0.20370200438875752
ate_linear,static_ate,70000007,Interaction g-computation,0.15437165065188008
ate_linear,static_ate,70000007,AIPW,0.2911399917163332
ate_linear,static_ate,70000007,DR learner (spline nuisances),0.14634671148547096
ate_linear,static_ate,70000008,Pretrained soft router,0.031863654180079304
ate_linear,static_ate,70000008,Pretrained hard top-1,0.017385589142205116
ate_linear,static_ate,70000008,Temperature-scaled router,0.03873110236482702
ate_linear,static_ate,70000008,Uniform expert mean,0.02148835565602958
ate_linear,static_ate,70000008,Median expert,0.03666733409917533
ate_linear,static_ate,70000008,Best fixed expert,0.017385589142205116
ate_linear,static_ate,70000008,Metadata-only selector,0.017385589142205116
ate_linear,static_ate,70000008,Shallow risk selector,0.017385589142205116
ate_linear,static_ate,70000008,Convex stack,0.04257475050632442
ate_linear,static_ate,70000008,Expert: linear,0.03666733409917533
ate_linear,static_ate,70000008,Expert: orthogonal,0.07758481595957101
ate_linear,static_ate,70000008,Expert: spline,0.0773928632930535
ate_linear,static_ate,70000008,Expert: interaction,0.017385589142205116
ate_linear,static_ate,70000008,Expert: piecewise,0.05358080770528495
ate_linear,static_ate,70000008,Linear g-computation,0.03670148571242893
ate_linear,static_ate,70000008,Random forest g-computation,0.4287381722348076
ate_linear,static_ate,70000008,Spline g-computation,0.0773928632930535
ate_linear,static_ate,70000008,Interaction g-computation,0.017385589142205116
ate_linear,static_ate,70000008,AIPW,0.07758481595957101
ate_linear,static_ate,70000008,DR learner (spline nuisances),0.14755151937662442
ate_linear,static_ate,70000009,Pretrained soft router,0.22857422648843584
ate_linear,static_ate,70000009,Pretrained hard top-1,0.20219887507082213
ate_linear,static_ate,70000009,Temperature-scaled router,0.25708274693791444
ate_linear,static_ate,70000009,Uniform expert mean,0.18664646458746184
ate_linear,static_ate,70000009,Median expert,0.23871136915804136
ate_linear,static_ate,70000009,Best fixed expert,0.20219887507082213
ate_linear,static_ate,70000009,Metadata-only selector,0.20219887507082213
ate_linear,static_ate,70000009,Shallow risk selector,0.33750185084463347
ate_linear,static_ate,70000009,Convex stack,0.27338441935936963
ate_linear,static_ate,70000009,Expert: linear,0.33750185084463347
ate_linear,static_ate,70000009,Expert: orthogonal,0.12218538212655794
ate_linear,static_ate,70000009,Expert: spline,0.23871136915804136
ate_linear,static_ate,70000009,Expert: interaction,0.20219887507082213
ate_linear,static_ate,70000009,Expert: piecewise,0.27700560999037016
ate_linear,static_ate,70000009,Linear g-computation,0.3375121812359796
ate_linear,static_ate,70000009,Random forest g-computation,0.10569842215668211
ate_linear,static_ate,70000009,Spline g-computation,0.23871136915804136
ate_linear,static_ate,70000009,Interaction g-computation,0.20219887507082213
ate_linear,static_ate,70000009,AIPW,0.12218538212655794
ate_linear,static_ate,70000009,DR learner (spline nuisances),0.1613005689524089
ate_linear,static_ate,70000010,Pretrained soft router,0.1674627809190331
ate_linear,static_ate,70000010,Pretrained hard top-1,0.27061261399581593
ate_linear,static_ate,70000010,Temperature-scaled router,0.24526324672506872
ate_linear,static_ate,70000010,Uniform expert mean,0.10552750094726249
ate_linear,static_ate,70000010,Median expert,0.262793199857022
ate_linear,static_ate,70000010,Best fixed expert,0.262793199857022
ate_linear,static_ate,70000010,Metadata-only selector,0.262793199857022
ate_linear,static_ate,70000010,Shallow risk selector,0.262793199857022
ate_linear,static_ate,70000010,Convex stack,0.24597463325882185
ate_linear,static_ate,70000010,Expert: linear,0.21933485730483693
ate_linear,static_ate,70000010,Expert: orthogonal,0.5009396506945832
ate_linear,static_ate,70000010,Expert: spline,0.27061261399581593
ate_linear,static_ate,70000010,Expert: interaction,0.262793199857022
ate_linear,static_ate,70000010,Expert: piecewise,0.2758364842732207
ate_linear,static_ate,70000010,Linear g-computation,0.21939009899663076
ate_linear,static_ate,70000010,Random forest g-computation,0.3901753338238119
ate_linear,static_ate,70000010,Spline g-computation,0.27061261399581593
ate_linear,static_ate,70000010,Interaction g-computation,0.262793199857022
ate_linear,static_ate,70000010,AIPW,0.5009396506945832
ate_linear,static_ate,70000010,DR learner (spline nuisances),0.02816236494512836
ate_linear,static_ate,70000011,Pretrained soft router,0.25662996066267973
ate_linear,static_ate,70000011,Pretrained hard top-1,0.2876822641436414
ate_linear,static_ate,70000011,Temperature-scaled router,0.28996071916974375
ate_linear,static_ate,70000011,Uniform expert mean,0.22010660975616736
ate_linear,static_ate,70000011,Median expert,0.28572413235348026
ate_linear,static_ate,70000011,Best fixed expert,0.2876822641436414
ate_linear,static_ate,70000011,Metadata-only selector,0.2876822641436414
ate_linear,static_ate,70000011,Shallow risk selector,0.28572413235348026
ate_linear,static_ate,70000011,Convex stack,0.28374955365753496
ate_linear,static_ate,70000011,Expert: linear,0.28572413235348026
ate_linear,static_ate,70000011,Expert: orthogonal,0.08943303019363125
ate_linear,static_ate,70000011,Expert: spline,0.27064779310863774
ate_linear,static_ate,70000011,Expert: interaction,0.2876822641436414
ate_linear,static_ate,70000011,Expert: piecewise,0.34591188936870854
ate_linear,static_ate,70000011,Linear g-computation,0.2857545264733472
ate_linear,static_ate,70000011,Random forest g-computation,0.1497161052023962
ate_linear,static_ate,70000011,Spline g-computation,0.27064779310863774
ate_linear,static_ate,70000011,Interaction g-computation,0.2876822641436414
ate_linear,static_ate,70000011,AIPW,0.08943303019363125
ate_linear,static_ate,70000011,DR learner (spline nuisances),0.27140226320572125
ate_linear,static_ate,70000012,Pretrained soft router,0.19159820898513769
ate_linear,static_ate,70000012,Pretrained hard top-1,0.13898089967564442
ate_linear,static_ate,70000012,Temperature-scaled router,0.1993282506614521
ate_linear,static_ate,70000012,Uniform expert mean,0.18389938913182113
ate_linear,static_ate,70000012,Median expert,0.1811739548285375
ate_linear,static_ate,70000012,Best fixed expert,0.13898089967564442
ate_linear,static_ate,70000012,Metadata-only selector,0.13898089967564442
ate_linear,static_ate,70000012,Shallow risk selector,0.1811739548285375
ate_linear,static_ate,70000012,Convex stack,0.17896965599090475
ate_linear,static_ate,70000012,Expert: linear,0.1811739548285375
ate_linear,static_ate,70000012,Expert: orthogonal,0.10402265630558827
ate_linear,static_ate,70000012,Expert: spline,0.2062538012106786
ate_linear,static_ate,70000012,Expert: interaction,0.13898089967564442
ate_linear,static_ate,70000012,Expert: piecewise,0.2890656336386571
ate_linear,static_ate,70000012,Linear g-computation,0.18122557918674442
ate_linear,static_ate,70000012,Random forest g-computation,0.4578330831009717
ate_linear,static_ate,70000012,Spline g-computation,0.2062538012106786
ate_linear,static_ate,70000012,Interaction g-computation,0.13898089967564442
ate_linear,static_ate,70000012,AIPW,0.10402265630558827
ate_linear,static_ate,70000012,DR learner (spline nuisances),0.04165511225999552
ate_linear,static_ate,70000013,Pretrained soft router,0.1440283605261905
ate_linear,static_ate,70000013,Pretrained hard top-1,0.16564046164325652
ate_linear,static_ate,70000013,Temperature-scaled router,0.16268378612612477
ate_linear,static_ate,70000013,Uniform expert mean,0.12687209864429416
ate_linear,static_ate,70000013,Median expert,0.1643934132652658
ate_linear,static_ate,70000013,Best fixed expert,0.16564046164325652
ate_linear,static_ate,70000013,Metadata-only selector,0.16564046164325652
ate_linear,static_ate,70000013,Shallow risk selector,0.1957058789329904
ate_linear,static_ate,70000013,Convex stack,0.16085329172753227
ate_linear,static_ate,70000013,Expert: linear,0.13695334215930877
ate_linear,static_ate,70000013,Expert: orthogonal,0.0283326027793509
ate_linear,static_ate,70000013,Expert: spline,0.1957058789329904
ate_linear,static_ate,70000013,Expert: interaction,0.16564046164325652
ate_linear,static_ate,70000013,Expert: piecewise,0.1643934132652658
ate_linear,static_ate,70000013,Linear g-computation,0.13689924067915338
ate_linear,static_ate,70000013,Random forest g-computation,0.47601933244761574
ate_linear,static_ate,70000013,Spline g-computation,0.1957058789329904
ate_linear,static_ate,70000013,Interaction g-computation,0.16564046164325652
ate_linear,static_ate,70000013,AIPW,0.0283326027793509
ate_linear,static_ate,70000013,DR learner (spline nuisances),0.2571835438618102
ate_linear,static_ate,70000014,Pretrained soft router,0.28000745039153774
ate_linear,static_ate,70000014,Pretrained hard top-1,0.25481145204225086
ate_linear,static_ate,70000014,Temperature-scaled router,0.3026707807435808
ate_linear,static_ate,70000014,Uniform expert mean,0.251846991192489
ate_linear,static_ate,70000014,Median expert,0.31254665673890614
ate_linear,static_ate,70000014,Best fixed expert,0.35480187953629994
ate_linear,static_ate,70000014,Metadata-only selector,0.35480187953629994
ate_linear,static_ate,70000014,Shallow risk selector,0.25481145204225086
ate_linear,static_ate,70000014,Convex stack,0.3110645228675438
ate_linear,static_ate,70000014,Expert: linear,0.25481145204225086
ate_linear,static_ate,70000014,Expert: orthogonal,0.023240520346970328
ate_linear,static_ate,70000014,Expert: spline,0.3603154879919579
ate_linear,static_ate,70000014,Expert: interaction,0.35480187953629994
ate_linear,static_ate,70000014,Expert: piecewise,0.31254665673890614
ate_linear,static_ate,70000014,Linear g-computation,0.25476482538125045
ate_linear,static_ate,70000014,Random forest g-computation,0.9387322773395581
ate_linear,static_ate,70000014,Spline g-computation,0.3603154879919579
ate_linear,static_ate,70000014,Interaction g-computation,0.35480187953629994
ate_linear,static_ate,70000014,AIPW,0.023240520346970328
ate_linear,static_ate,70000014,DR learner (spline nuisances),0.27828616150028684
ate_linear,static_ate,70000015,Pretrained soft router,0.237932794564793
ate_linear,static_ate,70000015,Pretrained hard top-1,0.24169138637734955
ate_linear,static_ate,70000015,Temperature-scaled router,0.24475529120966683
ate_linear,static_ate,70000015,Uniform expert mean,0.23729532384677238
ate_linear,static_ate,70000015,Median expert,0.24169138637734955
ate_linear,static_ate,70000015,Best fixed expert,0.24169138637734955
ate_linear,static_ate,70000015,Metadata-only selector,0.24169138637734955
ate_linear,static_ate,70000015,Shallow risk selector,0.2947668862099797
ate_linear,static_ate,70000015,Convex stack,0.26066113609684805
ate_linear,static_ate,70000015,Expert: linear,0.2947668862099797
ate_linear,static_ate,70000015,Expert: orthogonal,0.25538649973823135
ate_linear,static_ate,70000015,Expert: spline,0.23200469282819336
ate_linear,static_ate,70000015,Expert: interaction,0.24169138637734955
ate_linear,static_ate,70000015,Expert: piecewise,0.16262715408010786
ate_linear,static_ate,70000015,Linear g-computation,0.29477637109130994
ate_linear,static_ate,70000015,Random forest g-computation,0.16901044458153835
ate_linear,static_ate,70000015,Spline g-computation,0.23200469282819336
ate_linear,static_ate,70000015,Interaction g-computation,0.24169138637734955
ate_linear,static_ate,70000015,AIPW,0.25538649973823135
ate_linear,static_ate,70000015,DR learner (spline nuisances),0.1261188327470566
ate_linear,static_ate,70000016,Pretrained soft router,0.3117032313259602
ate_linear,static_ate,70000016,Pretrained hard top-1,0.2418418470232293
ate_linear,static_ate,70000016,Temperature-scaled router,0.29527735746639544
ate_linear,static_ate,70000016,Uniform expert mean,0.32308752028481214
ate_linear,static_ate,70000016,Median expert,0.3454219716994569
ate_linear,static_ate,70000016,Best fixed expert,0.20045190485403985
ate_linear,static_ate,70000016,Metadata-only selector,0.20045190485403985
ate_linear,static_ate,70000016,Shallow risk selector,0.20045190485403985
ate_linear,static_ate,70000016,Convex stack,0.27905627989885506
ate_linear,static_ate,70000016,Expert: linear,0.3454219716994569
ate_linear,static_ate,70000016,Expert: orthogonal,0.47571491165296287
ate_linear,static_ate,70000016,Expert: spline,0.2418418470232293
ate_linear,static_ate,70000016,Expert: interaction,0.20045190485403985
ate_linear,static_ate,70000016,Expert: piecewise,0.3520069661943719
ate_linear,static_ate,70000016,Linear g-computation,0.3454244215768276
ate_linear,static_ate,70000016,Random forest g-computation,0.35341870906904177
ate_linear,static_ate,70000016,Spline g-computation,0.2418418470232293
ate_linear,static_ate,70000016,Interaction g-computation,0.20045190485403985
ate_linear,static_ate,70000016,AIPW,0.47571491165296287
ate_linear,static_ate,70000016,DR learner (spline nuisances),0.02682694481219644
ate_linear,static_ate,70000017,Pretrained soft router,0.29361473793909787
ate_linear,static_ate,70000017,Pretrained hard top-1,0.33237807344597026
ate_linear,static_ate,70000017,Temperature-scaled router,0.3203859733498198
ate_linear,static_ate,70000017,Uniform expert mean,0.26929484199684306
ate_linear,static_ate,70000017,Median expert,0.31762377809684916
ate_linear,static_ate,70000017,Best fixed expert,0.33237807344597026
ate_linear,static_ate,70000017,Metadata-only selector,0.33237807344597026
ate_linear,static_ate,70000017,Shallow risk selector,0.33237807344597026
ate_linear,static_ate,70000017,Convex stack,0.3150980141562041
ate_linear,static_ate,70000017,Expert: linear,0.3018371303002183
ate_linear,static_ate,70000017,Expert: orthogonal,0.05848316740196391
ate_linear,static_ate,70000017,Expert: spline,0.31762377809684916
ate_linear,static_ate,70000017,Expert: interaction,0.33237807344597026
ate_linear,static_ate,70000017,Expert: piecewise,0.33615206073921367
ate_linear,static_ate,70000017,Linear g-computation,0.3018053411147579
ate_linear,static_ate,70000017,Random forest g-computation,0.782878852976346
ate_linear,static_ate,70000017,Spline g-computation,0.3176237184922044
ate_linear,static_ate,70000017,Interaction g-computation,0.33237807344597026
ate_linear,static_ate,70000017,AIPW,0.05848316740196391
ate_linear,static_ate,70000017,DR learner (spline nuisances),0.03621975912360442
ate_linear,static_ate,70000018,Pretrained soft router,0.08048611131702366
ate_linear,static_ate,70000018,Pretrained hard top-1,0.1454032554376017
ate_linear,static_ate,70000018,Temperature-scaled router,0.17260170362078253
ate_linear,static_ate,70000018,Uniform expert mean,0.08245780327440388
ate_linear,static_ate,70000018,Median expert,0.17510514399885047
ate_linear,static_ate,70000018,Best fixed expert,0.1454032554376017
ate_linear,static_ate,70000018,Metadata-only selector,0.1454032554376017
ate_linear,static_ate,70000018,Shallow risk selector,0.227587272142161
ate_linear,static_ate,70000018,Convex stack,0.18358049299176937
ate_linear,static_ate,70000018,Expert: linear,0.17510514399885047
ate_linear,static_ate,70000018,Expert: orthogonal,1.2468547330153097
ate_linear,static_ate,70000018,Expert: spline,0.227587272142161
ate_linear,static_ate,70000018,Expert: interaction,0.1454032554376017
ate_linear,static_ate,70000018,Expert: piecewise,0.2864700450646769
ate_linear,static_ate,70000018,Linear g-computation,0.17507248986958035
ate_linear,static_ate,70000018,Random forest g-computation,0.5571036111653
ate_linear,static_ate,70000018,Spline g-computation,0.227587272142161
ate_linear,static_ate,70000018,Interaction g-computation,0.1454032554376017
ate_linear,static_ate,70000018,AIPW,1.2468547330153097
ate_linear,static_ate,70000018,DR learner (spline nuisances),0.06640169652711547
ate_linear,static_ate,70000019,Pretrained soft router,0.09028502515467585
ate_linear,static_ate,70000019,Pretrained hard top-1,0.3113867256767695
ate_linear,static_ate,70000019,Temperature-scaled router,0.09363685028543256
ate_linear,static_ate,70000019,Uniform expert mean,0.10112044550251414
ate_linear,static_ate,70000019,Median expert,0.07063006497692514
ate_linear,static_ate,70000019,Best fixed expert,0.10735444091487478
ate_linear,static_ate,70000019,Metadata-only selector,0.10735444091487478
ate_linear,static_ate,70000019,Shallow risk selector,0.10735444091487478
ate_linear,static_ate,70000019,Convex stack,0.01964337737959279
ate_linear,static_ate,70000019,Expert: linear,0.0378699984424169
ate_linear,static_ate,70000019,Expert: orthogonal,0.2688098762161677
ate_linear,static_ate,70000019,Expert: spline,0.07063006497692514
ate_linear,static_ate,70000019,Expert: interaction,0.10735444091487478
ate_linear,static_ate,70000019,Expert: piecewise,0.3113867256767695
ate_linear,static_ate,70000019,Linear g-computation,0.037875861672632904
