method,micro_mae,macro_mae,standardized_mae,mean_rank,mean_regret,worst_cell_mae,coverage,coverage_ci_low,coverage_ci_high,mean_width,standardized_width,episodes
AIPW,0.41721423731647295,0.41721423731647295,0.37681856026324156,,0.32506601065689283,0.41721423731647295,0.8933333333333333,0.8532967116826325,0.9234241509540578,1.7851433301969268,1.6142794364122612,300
Best fixed expert,0.17122801476119856,0.17122801476119856,0.1541311293950177,5.25,0.07907978810161843,0.17122801476119856,0.8866666666666667,0.8458006041283088,0.9177554981247089,0.6810899944750499,0.6158998853643455,300
Convex stack,0.15967342832395665,0.15967342832395667,0.14382430220272033,4.4,0.06752520166437655,0.15967342832395667,0.9033333333333333,0.8646182980304887,0.9318497051817106,0.6654141471050131,0.6017244420653496,300
DR learner (spline nuisances),0.18478705539762222,0.18478705539762222,0.16660063343944265,,0.09263882873804209,0.18478705539762222,0.8966666666666666,0.8570598275670679,0.9262434152614588,0.7613331932612261,0.6884626558272505,300
Expert: interaction,0.17122801476119856,0.17122801476119856,0.1541311293950177,,0.07907978810161843,0.17122801476119856,0.8866666666666667,0.8458006041283088,0.9177554981247089,0.6810899944750499,0.6158998853643455,300
Expert: linear,0.15681729311034226,0.15681729311034226,0.1415369786616381,,0.06466906645076216,0.15681729311034226,0.91,0.8722229892013517,0.9374097743945206,0.6513127892776459,0.5889727870126997,300
Expert: orthogonal,0.4172142379373547,0.4172142379373547,0.37681856077322207,,0.3250660112777745,0.4172142379373547,0.8933333333333333,0.8532967116826325,0.9234241509540578,1.7851433301969268,1.6142794364122612,300
Expert: piecewise,0.18521035804104366,0.18521035804104366,0.16635982946746253,,0.09306213138146353,0.18521035804104366,0.9,0.8608335376153785,0.9290520854049847,0.7734225550961916,0.6993948918440525,300
Expert: spline,0.16970692737191712,0.16970692737191712,0.1526906399684529,,0.07755870071233702,0.16970692737191712,0.9,0.8608335376153785,0.9290520854049847,0.731927823466572,0.6618718028819178,300
Interaction g-computation,0.17122801453768113,0.17122801453768113,0.15413112920869557,,0.07907978787810102,0.17122801453768113,0.8866666666666667,0.8458006041283088,0.9177554981247089,0.6810899944750499,0.6158998853643455,300
Linear g-computation,0.15682565677982244,0.1568256567798224,0.1415444594952179,,0.06467743012024231,0.1568256567798224,0.91,0.8722229892013517,0.9374097743945206,0.6513132238720686,0.588973180010185,300
Median expert,0.1627189681123405,0.1627189681123405,0.14644639731251724,4.83,0.07057074145276035,0.1627189681123405,0.91,0.8722229892013517,0.9374097743945206,0.6901409862213984,0.6240845670132169,300
Metadata-only selector,0.17122801476119856,0.17122801476119856,0.1541311293950177,5.25,0.07907978810161843,0.17122801476119856,0.8866666666666667,0.8458006041283088,0.9177554981247089,0.6810899944750499,0.6158998853643455,300
Oracle: per-cell expert,0.15681729311034226,0.15681729311034226,0.1415369786616381,,0.06466906645076216,0.15681729311034226,,,,,,300
Oracle: per-episode expert,0.09214822665958013,0.09214822665958011,0.08274267467479642,,0.0,0.09214822665958011,,,,,,300
Pretrained hard top-1,0.17248846128379042,0.17248846128379042,0.15488444891221784,5.235,0.0803402346242103,0.17248846128379042,0.8833333333333333,0.8420668566758442,0.9149068653853369,0.6902710699156939,0.6242021998268747,300
Pretrained soft router,0.1711832129450266,0.1711832129450266,0.15415293764566732,5.07,0.07903498628544649,0.1711832129450266,0.9133333333333333,0.8760440413057516,0.9401711024819569,0.7265925246435678,0.6570471688979675,300
Random forest g-computation,0.25613994032188825,0.25613994032188825,0.2320887748601361,,0.1639917136623081,0.25613994032188825,0.93,0.8953639895740667,0.9537630551728237,0.7268215683478375,0.6572542898252275,300
Shallow risk selector,0.1648826284566548,0.1648826284566548,0.14843329865923716,4.935,0.0727344017970747,0.1648826284566548,0.9,0.8608335376153785,0.9290520854049847,0.6835162690574005,0.6180939305701983,300
Spline g-computation,0.1697069271483997,0.1697069271483997,0.15269063980596256,,0.07755870048881959,0.1697069271483997,0.9,0.8608335376153785,0.9290520854049847,0.731927823466572,0.6618718028819178,300
Temperature-scaled router,0.16192946618158535,0.16192946618158535,0.14573176359370146,4.5633333333333335,0.06978123952200523,0.16192946618158535,0.9,0.8608335376153785,0.9290520854049847,0.6858168150439204,0.620174281215292,300
Uniform expert mean,0.1857756136240187,0.1857756136240187,0.16737988155557276,5.466666666666667,0.09362738696443858,0.1857756136240187,0.9033333333333333,0.8646182980304887,0.9318497051817106,0.8020379740387266,0.7252714035962826,300
