scenario,seed,task,method,truth,estimate,latent_estimate,answered,correct,split_truth,split_predicted,absolute_error,lower,upper,covered
ate_linear,20000000,static_ate,CWFM-Direct,0.29129559334550326,0.7536787390708923,0.7536787390708923,True,,,,0.4623831457253891,0.5692478062212467,0.938109671920538,0.0
ate_linear,20000000,static_ate,CWFM-Calibrated,0.29129559334550326,0.6382389749923714,0.6382389749923714,True,,,,0.3469433816468681,-0.041104355780515967,1.3175823057652587,1.0
ate_linear,20000000,static_ate,Linear g-computation,0.29129559334550326,0.620154857635498,0.620154857635498,True,,,,0.3288592642899948,0.332401137981797,0.907908577289199,0.0
ate_linear,20000000,static_ate,Random forest g-computation,0.29129559334550326,0.013244068076457815,0.013244068076457815,True,,,,0.2780515252690454,-0.869839300362467,0.8963274365153827,1.0
ate_linear,20000000,static_ate,AIPW,0.29129559334550326,0.391740337662539,0.391740337662539,True,,,,0.10044474431703576,0.0050432537918508324,0.7784374215332273,1.0
ate_linear,20000001,static_ate,CWFM-Direct,-0.31096785916828606,0.30313363671302795,0.30313363671302795,True,,,,0.614101495881314,-1.0458721470832826,1.6521394205093385,1.0
ate_linear,20000001,static_ate,CWFM-Calibrated,-0.31096785916828606,-0.029460090639416375,-0.029460090639416375,True,,,,0.2815077685288697,-0.7088034214123037,0.649883240133471,1.0
ate_linear,20000001,static_ate,Linear g-computation,-0.31096785916828606,-0.4596172571182251,-0.4596172571182251,True,,,,0.14864939794993903,-0.7473709767719261,-0.17186353746452404,1.0
ate_linear,20000001,static_ate,Random forest g-computation,-0.31096785916828606,-0.005328356005002745,-0.005328356005002745,True,,,,0.3056395031632833,-0.8884117244439276,0.8777550124339222,1.0
ate_linear,20000001,static_ate,AIPW,-0.31096785916828606,-0.23439321137644945,-0.23439321137644945,True,,,,0.07657464779183662,-0.6210902952471377,0.15230387249423874,1.0
ate_linear,20000002,static_ate,CWFM-Direct,0.05964699132592344,0.57309889793396,0.57309889793396,True,,,,0.5134519066080365,-0.4277433973550797,1.5739411932229996,1.0
ate_linear,20000002,static_ate,CWFM-Calibrated,0.05964699132592344,0.3871174520764151,0.3871174520764151,True,,,,0.3274704607504917,-0.2922258786964722,1.0664607828493025,1.0
ate_linear,20000002,static_ate,Linear g-computation,0.05964699132592344,0.1503475457429886,0.1503475457429886,True,,,,0.09070055441706515,-0.13740617391071247,0.43810126539668964,1.0
ate_linear,20000002,static_ate,Random forest g-computation,0.05964699132592344,0.03961241889952794,0.03961241889952794,True,,,,0.020034572426395496,-0.8434709495393969,0.9226957873384528,1.0
ate_linear,20000002,static_ate,AIPW,0.05964699132592344,0.26828735949385113,0.26828735949385113,True,,,,0.2086403681679277,-0.11840972437683706,0.6549844433645393,1.0
ate_linear,20000003,static_ate,CWFM-Direct,-1.3133856925809904,-0.20945806801319122,-0.20945806801319122,True,,,,1.1039276245677991,-1.3810530281066895,0.9621368920803071,1.0
