task,scenario,method,absolute_error_mean,absolute_error_std,absolute_error_count,covered_mean,covered_std,covered_count,interval_width_mean,interval_width_std,interval_width_count,correct_mean,correct_std,correct_count,answered_mean,answered_std,answered_count,split_predicted_mean,split_predicted_std,split_predicted_count,split_probability_mean,split_probability_std,split_probability_count
network_interference,interference_hidden_confounding,CWFM-Compiled,0.17720367686087457,0.1808095852614657,30,0.9,0.3051285766293647,30,0.8326542723972938,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,CWFM-Revised,,,0,,,0,,,0,,,0,0.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Interaction g-computation,0.16354849135595745,0.17368411274992757,30,0.9333333333333333,0.2537081317024624,30,0.9204411023088415,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Linear g-computation,0.1594109421915014,0.1818329656693694,30,0.9333333333333333,0.2537081317024624,30,0.9417552706487824,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Null shrinkage,0.3550356281053278,0.17168611299826458,30,1.0,0.0,30,2.150895566853693,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Piecewise exposure-response,0.4034185701627246,0.26220197228502157,30,0.6,0.4982728791224399,30,0.7715102434158325,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Random forest g-computation,0.20624251473874955,0.16857375877761405,30,0.9666666666666667,0.18257418583505536,30,1.0974293981680148,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_hidden_confounding,Spline g-computation,0.42324471381372863,0.33950282235512885,30,0.6666666666666666,0.47946330148538413,30,0.9383490376519763,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,CWFM-Compiled,0.10694898989847197,0.09054678338740724,30,1.0,0.0,30,0.8326542723972938,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,CWFM-Revised,0.10694899027100101,0.09054678117413813,30,0.9333333333333333,0.2537081317024624,30,0.7288062871246443,0.2542116800131857,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Interaction g-computation,0.10375018907792224,0.08244878043738804,30,1.0,0.0,30,0.9204411023088415,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Linear g-computation,0.09650718874678989,0.07140173661763824,30,1.0,0.0,30,0.9417552706487824,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Null shrinkage,0.3550356281053278,0.17168611299826458,30,1.0,0.0,30,2.150895566853693,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Piecewise exposure-response,0.20070166810555048,0.1242570225871346,30,0.9,0.30512857662936466,30,0.7715102434158325,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Random forest g-computation,0.20706138008095645,0.12510284211095965,30,1.0,0.0,30,1.0974293981680148,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_linear,Spline g-computation,0.2715624501167046,0.2297227291075934,30,0.8333333333333334,0.3790490217894517,30,0.9383490376519763,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,CWFM-Compiled,0.10049818979508321,0.07420210828410408,30,1.0,0.0,30,0.8326542723972938,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,CWFM-Revised,0.10049819078849395,0.07420210824856688,30,0.9666666666666667,0.18257418583505536,30,0.5757291878398393,0.10708433497589741,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Interaction g-computation,0.07860772132407874,0.07089797447462501,30,1.0,0.0,30,0.9204411023088415,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Linear g-computation,0.08990308754393592,0.07188881562756035,30,1.0,0.0,30,0.9417552706487824,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Null shrinkage,0.0,0.0,30,1.0,0.0,30,2.150895566853693,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Piecewise exposure-response,0.2061168234795332,0.12139220040770207,30,0.9333333333333333,0.2537081317024624,30,0.7715102434158325,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Random forest g-computation,0.05451908300825129,0.04955864190716756,30,1.0,0.0,30,1.0974293981680148,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_null,Spline g-computation,0.2612778299798568,0.15994262849174107,30,0.9,0.30512857662936466,30,0.9383490376519763,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,CWFM-Compiled,0.24806200000008805,0.18217652955817187,30,0.8333333333333334,0.3790490217894517,30,0.8326542723972938,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,CWFM-Revised,,,0,,,0,,,0,,,0,0.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Interaction g-computation,0.2324350739731798,0.20501478109932308,30,0.9,0.3051285766293647,30,0.9204411023088415,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Linear g-computation,0.26673025567455594,0.30320848534786904,30,0.8666666666666667,0.34574590364176044,30,0.9417552706487824,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Null shrinkage,0.3550356281053278,0.17168611299826458,30,1.0,0.0,30,2.150895566853693,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Piecewise exposure-response,0.3959689728961104,0.37699349963460466,30,0.5666666666666667,0.5040069329937309,30,0.7715102434158325,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Random forest g-computation,0.2669432090948916,0.18697422967708135,30,0.8666666666666667,0.3457459036417604,30,1.0974293981680148,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_poor_support,Spline g-computation,0.31650989347357666,0.23588996856031255,30,0.8666666666666667,0.3457459036417604,30,0.9383490376519763,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,CWFM-Compiled,0.28348165431395234,0.17273644450663783,30,0.7666666666666667,0.4301830671520764,30,0.8326542723972938,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,CWFM-Revised,0.2834816469875481,0.1727364474746667,30,0.7,0.466091599699399,30,0.8248320947920285,0.3288872832033457,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Interaction g-computation,0.3120466497046258,0.1840600452886317,30,0.8,0.40683810217248617,30,0.9204411023088415,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Linear g-computation,0.31053904922725856,0.19513563825253333,30,0.8,0.40683810217248617,30,0.9417552706487824,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Null shrinkage,0.7100712562106556,0.34337222599652917,30,0.7666666666666667,0.4301830671520764,30,2.150895566853693,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Piecewise exposure-response,0.17306351733847572,0.13800242727505135,30,0.9,0.3051285766293647,30,0.7715102434158325,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Random forest g-computation,0.35135487050568043,0.21066374511043112,30,0.8333333333333334,0.3790490217894517,30,1.0974293981680148,0.0,30,,,0,1.0,0.0,30,,,0,,,0
network_interference,interference_threshold,Spline g-computation,0.2770011420687253,0.24466985941484015,30,0.8,0.40683810217248617,30,0.9383490376519763,0.0,30,,,0,1.0,0.0,30,,,0,,,0
observed_regime,regime_linear_split,CWFM-Revised,,,0,,,0,,,0,0.6333333333333333,0.49013251785356104,30,1.0,0.0,30,0.6333333333333333,0.49013251785356104,30,0.1395118350783984,0.15281056599506543,30
observed_regime,regime_linear_split,MOB-like,,,0,,,0,,,0,0.8,0.40683810217248617,30,1.0,0.0,30,0.8333333333333334,0.3790490217894517,30,0.8333333333333334,0.3790490217894517,30
observed_regime,regime_null,CWFM-Revised,,,0,,,0,,,0,1.0,0.0,30,1.0,0.0,30,0.0,0.0,30,0.0,0.0,30
