method,scenario,seed,status,global_search_p,critical_score,n_true_breaks_all,n_true_breaks_B,n_raw_breaks,n_B_breaks,segment_ari,segment_nmi,boundary_displacement,segment_relevance_precision,segment_relevance_recall,segment_relevance_f1,segment_relevance_loss_gain,pooled_AR_test_loss,pooled_VARX_test_loss,piecewise_VARX_test_loss,oracle_piecewise_VARX_test_loss,VARX_improvement_over_AR,piecewise_improvement_over_VARX,oracle_improvement_recovered,false_B_attribution,delta_B_relative_error,runtime_seconds,raw_break_precision,raw_break_recall,raw_break_f1,raw_break_fdr,raw_break_count_error,raw_break_exact_set,raw_break_localization_mae,raw_break_localization_median,raw_break_localization_rmse,raw_break_localization_normalized,raw_break_any_detection,B_break_precision,B_break_recall,B_break_f1,B_break_fdr,B_break_count_error,B_break_exact_set,B_break_localization_mae,B_break_localization_median,B_break_localization_rmse,B_break_localization_normalized,B_break_any_detection,relative_A_error,relative_B_error,B_support_precision,B_support_recall,B_support_f1,B_support_fdr,B_sign_accuracy,B_nonzero_rmse,bootstrap_B_break_jaccard,bootstrap_any_raw_break_frequency,bootstrap_any_B_break_frequency,bootstrap_mean_B_break_count,bootstrap_retained_B_change_probability
temporal_split_detection_method,noise_only_break,2,ok,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.18666762292844513,0.7646845343489383,0.6456487117879135,0.6456487117879135,0.6504122934081855,0.11903582256102485,0.0,-0.0,0.0,,0.2888575910037616,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.15536458033132475,0.21305030101296563,1.0,0.8333333333333334,0.9090909090909091,0.0,1.0,0.03181579797328109,1.0,0.0,0.0,0.0,
temporal_split_detection_method,noise_only_break,3,ok,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.042433588651005626,0.7184119422343648,0.6884894149958476,0.6884894149958476,0.7062637890135409,0.029922527238517183,0.0,-0.0,0.0,,0.2873307889967691,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.11359204903294982,0.6029809484417443,1.0,1.0,1.0,0.0,1.0,0.0392622359599594,1.0,0.0,0.0,0.0,
temporal_split_detection_method,noise_only_break,4,ok,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.15602406681992492,0.7624291215527564,0.6590655024534514,0.6590655024534514,0.6692119422503598,0.10336361909930503,0.0,-0.0,0.0,,0.2813695799995912,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.14705465928912517,0.30526644197112235,1.0,0.25,0.4,0.0,1.0,0.03662994339448765,1.0,0.0,0.0,0.0,
temporal_split_detection_method,X_process_break,0,ok,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5182155330952086,0.7277533625721847,0.32407843039160567,0.32407843039160567,0.32407843039160567,0.40367493218057904,0.0,,0.0,,0.2805921700055478,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.06139334174315129,0.07761283674000825,1.0,0.6666666666666666,0.8,0.0,1.0,0.02450760202044217,1.0,0.0,0.0,0.0,
temporal_split_detection_method,X_process_break,1,ok,0.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.20809402907909022,0.9753248950333244,0.7705021905616228,0.7705021905616228,0.7705021905616228,0.2048227044717016,0.0,,0.0,,0.2917138100019656,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.24916607364150709,0.216723849833334,1.0,0.8571428571428571,0.923076923076923,0.0,1.0,0.03507925990449323,1.0,0.0,0.0,0.0,
temporal_split_detection_method,X_process_break,2,ok,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.26254039288248315,0.6448214168568196,0.4781918841595989,0.4781918841595989,0.4781918841595989,0.1666295326972207,0.0,,0.0,,0.30982781200145837,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.0711406298307912,0.13421683030304443,1.0,0.8333333333333334,0.9090909090909091,0.0,1.0,0.026581335817935654,1.0,0.0,0.0,0.0,
temporal_split_detection_method,X_process_break,3,ok,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.09407032949962282,0.6667879527446182,0.6101002694313008,0.6101002694313008,0.6101002694313008,0.056687683313317416,0.0,,0.0,,0.30149660499591846,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.09512473562563678,0.35925987009987925,1.0,1.0,1.0,0.0,1.0,0.03130099413979581,1.0,0.0,0.0,0.0,
temporal_split_detection_method,X_process_break,4,ok,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.28956090721836036,0.740338447425059,0.5384200291427118,0.5384200291427118,0.5384200291427118,0.20191841828234725,0.0,,0.0,,0.2898238640045747,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,0.0,0.11794712833414005,0.20201211993245885,1.0,0.5,0.6666666666666666,0.0,1.0,0.03365866178479699,1.0,0.0,0.0,0.0,
temporal_split_detection_method,mixed_A_B_break,0,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.4495326280639162,0.9348635236466882,0.6728192069039896,0.5107534829961564,0.5108974637754318,0.2620443167426987,0.16206572390783314,1.000889199785609,0.0,0.22236398418603137,0.34145135300059337,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.1893461425881747,0.1703195623557432,1.0,0.7272727272727273,0.8421052631578948,0.0,1.0,0.05051363611086232,1.0,1.0,1.0,1.0,1.0
temporal_split_detection_method,mixed_A_B_break,1,ok,0.05,0.0,1.0,1.0,1.0,1.0,0.9942857026573217,0.9858658095423244,0.0014285714285714457,1.0,1.0,1.0,0.4215794396610927,0.9173808003270603,0.6168489839693034,0.5101770513511269,0.5099905639859806,0.30053181635775683,0.10667193261817653,0.998254818242911,0.0,0.17774454243128068,0.3108796849992359,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0014285714285714286,1.0,0.19453941437971647,0.15290699663311555,1.0,0.8888888888888888,0.9411764705882353,0.0,1.0,0.03171993607721139,1.0,1.0,1.0,1.0,1.0
