method,scenario,weight_linear,weight_orthogonal,weight_spline,weight_interaction,weight_piecewise,weight_design_or_null,normalized_entropy,oracle_top_choice
Untrained seed 1731,interference_linear,0.1309063974271218,0.2362894036869208,0.07761732907344898,0.29947885115941364,0.16057349336644014,0.0951345253487428,0.9256979668633681,0.22
Untrained seed 1731,interference_null,0.1287348079929749,0.24862176636854807,0.06725984066724777,0.32716659794251124,0.14343789488077163,0.08477908874551456,0.9137961902621312,0.0
Untrained seed 1731,interference_threshold,0.1311626769353946,0.2193003914753596,0.08800126552581787,0.27996093024810154,0.17612980904678505,0.1054449291775624,0.9306338092570312,0.24333333333333335
Untrained seed 1732,ate_linear,0.1578027353187402,0.1958798508097728,0.14317759091655413,0.2740361565351486,0.22910366455713907,0.0,0.9651744060860125,0.17666666666666667
Untrained seed 1732,ate_nonlinear,0.1604786705970764,0.20556657291948796,0.14303562469780445,0.2799924284219742,0.2109267068405946,0.0,0.9658924452725904,0.17666666666666667
Untrained seed 1732,ate_randomized,0.127773685430487,0.14920356137057145,0.11801541010538737,0.2284892908235391,0.18873258953293165,0.1877854610979557,0.9660910275898914,0.13
Untrained seed 1732,interference_linear,0.11702747697631519,0.11344915809730689,0.10153031016389528,0.2589213820795218,0.22064974755048752,0.1884219276656707,0.9504668548362687,0.17333333333333334
Untrained seed 1732,interference_null,0.10604661514361699,0.11573810515304407,0.09823326759040356,0.2788245643675327,0.20493640224138895,0.1962210424989462,0.9533718813263997,0.04666666666666667
Untrained seed 1732,interference_threshold,0.1326316496481498,0.10973442278802395,0.10922528435786565,0.24065473601222037,0.22654718711972235,0.18120671987533568,0.9473491351701984,0.20666666666666667
Untrained seed 1733,ate_linear,0.22294049287835757,0.19139559159676234,0.20932694397866725,0.2180555043121179,0.15828146874904633,0.0,0.9801268724052903,0.22333333333333333
Untrained seed 1733,ate_nonlinear,0.22029921546578407,0.1885050999124845,0.19776412402590116,0.22260788599650064,0.17082367718219757,0.0,0.9825224182726223,0.19333333333333333
Untrained seed 1733,ate_randomized,0.16708174372712772,0.16621569745242595,0.17840972083310286,0.1713850035270055,0.11708107781906922,0.19982675438125927,0.9831361762144392,0.16333333333333333
Untrained seed 1733,interference_linear,0.16771203162769477,0.1819052701195081,0.1934088602165381,0.18793632328510285,0.10597035470108192,0.16306715873380503,0.9833498225717536,0.21666666666666667
Untrained seed 1733,interference_null,0.16331264500816664,0.18329035490751266,0.19118180319666864,0.19964866772294043,0.09781155919035275,0.16475496942798296,0.984154624566406,0.0
Untrained seed 1733,interference_threshold,0.16579623103141786,0.18429700228075185,0.1935215734442075,0.17360961218674978,0.12053050205111504,0.16224508121609688,0.9825391795135688,0.10666666666666667
