method,scenario,weight_linear,weight_orthogonal,weight_spline,weight_interaction,weight_piecewise,weight_design_or_null,normalized_entropy,oracle_top_choice
Pretrained,ate_linear,0.2338148913284143,0.11043761387467384,0.21413107467194398,0.2383131568133831,0.20330326557159423,0.0,0.9777960637407542,0.16
Pretrained,ate_nonlinear,0.2304204052189986,0.11132186899582545,0.21791817605495453,0.23606546401977538,0.20427408561110497,0.0,0.9773559883323721,0.2733333333333333
Pretrained,ate_randomized,0.2003965637087822,0.10149327828238408,0.18078917406499387,0.19035027091701825,0.16901644105712574,0.15795427277684213,0.9865117445271309,0.18333333333333332
Pretrained,interference_linear,0.21958514670530954,0.14447351132829983,0.11859014642735323,0.2330765752494335,0.14557503988345463,0.1386995821694533,0.9798240776281646,0.25
Pretrained,interference_null,0.21899462208151818,0.14626762901743254,0.11354895735780399,0.23004317740599314,0.1468538375943899,0.14429177587231,0.980921214673206,0.0
Pretrained,interference_threshold,0.2172125418484211,0.14096211314201354,0.12631600278119245,0.23440089950958887,0.14329689721266428,0.13781154674788315,0.9796772961237618,0.08
Untrained seed 1729,ate_linear,0.1639040163407723,0.17200685255229473,0.15563557932774225,0.21569548857708773,0.2927580644687017,0.0,0.9658600147002161,0.2
Untrained seed 1729,ate_nonlinear,0.15667360415061315,0.1715940202275912,0.1539347927023967,0.21694711943467457,0.30085046206911403,0.0,0.9640241109444162,0.23666666666666666
Untrained seed 1729,ate_randomized,0.1353833847741286,0.15137519831458726,0.12699744664132595,0.16825737148523331,0.24079384009043375,0.1771927631398042,0.9756427146638089,0.17333333333333334
Untrained seed 1729,interference_linear,0.10072128196557363,0.20044340655207635,0.12060618904729684,0.1547542700668176,0.2792239827911059,0.1442508732775847,0.9616010545243316,0.15666666666666668
Untrained seed 1729,interference_null,0.09277244205276171,0.20075436249375345,0.11320818019409974,0.15209098103145757,0.2976120294133822,0.14356201002995173,0.9549476810864163,0.0
Untrained seed 1729,interference_threshold,0.10560642873247464,0.19511236543456714,0.13095036243398983,0.15967561913033326,0.2595527251561483,0.14910249931116898,0.9645679320180187,0.48333333333333334
Untrained seed 1730,ate_linear,0.10984050979216893,0.1498298760379354,0.32438621868689854,0.2235575245320797,0.1923858701189359,0.0,0.9246638516473352,0.19666666666666666
Untrained seed 1730,ate_nonlinear,0.10526866418619951,0.15933686797817548,0.3325204712649186,0.22036894505222637,0.18250505248705545,0.0,0.9259660403680013,0.21333333333333335
Untrained seed 1730,ate_randomized,0.099472347907722,0.1280769701053699,0.27522609030206996,0.2065871431430181,0.15374623430271944,0.1368912165860335,0.9415983191523399,0.15333333333333332
Untrained seed 1730,interference_linear,0.0969755528618892,0.1487473726272583,0.22514325246214867,0.23589169492324194,0.15920737706124782,0.13403475229938824,0.95847691297062,0.18
Untrained seed 1730,interference_null,0.08652294963598252,0.1355532603462537,0.25284226854642233,0.24622718170285224,0.14852162522574267,0.13033271451791129,0.9578372832478721,0.0
Untrained seed 1730,interference_threshold,0.10513901380201181,0.16658730094631513,0.20054533948500952,0.22180779963731767,0.16551559649407863,0.14040495065351327,0.954238249567771,0.25
Untrained seed 1731,ate_linear,0.11774468546112378,0.2361653441687425,0.11795867721239726,0.3267378351092339,0.2013934592405955,0.0,0.9165231945653687,0.18666666666666668
Untrained seed 1731,ate_nonlinear,0.11402486870686213,0.2353215994934241,0.11975717432796955,0.3198955409725507,0.2110008226831754,0.0,0.9215498431662358,0.20333333333333334
Untrained seed 1731,ate_randomized,0.10618119989832242,0.21737713081141313,0.09748053962985674,0.2923250134289265,0.16341642409563065,0.12321969223519166,0.9254963512606477,0.14666666666666667
