compiled,correction,estimable,expert_estimates,final,gate,identified_probability,scale,scenario,split,step,support_probability,target,task,weights,world_weights,episode_number,seed,seed_provenance,absolute_error,split_probability,split_truth,structure,structure_correct
-0.7792076468467712,6.105204874984338e-08,True,"[-0.7874152064323425, -0.6502097249031067, -0.8169957399368286, -0.7975354194641113, -0.7689269781112671, -0.6068248152732849]",-0.7792075872421265,0.006692850962281227,1.0,0.7794299721717834,ate_ood_hinge,validation_ood,100,0.9985541701316833,-0.886867105960846,static_ate,"[0.2399849146604538, 0.10000010579824448, 0.2172367125749588, 0.25423070788383484, 0.18854759633541107, 0.0]","[0.16674849390983582, 0.16651849448680878, 0.167035311460495, 0.16650855541229248, 0.16668178141117096, 0.16650733351707458]",1,11001729,reconstructed from saved stream and validate generation order,0.10765951871871948,,,,
1.4728457927703857,0.0,True,"[1.3235924243927002, 1.6341674327850342, 1.519386887550354, 1.4918140172958374, 1.4606289863586426, 1.8813283443450928]",1.4728457927703857,0.006692850962281227,1.0,1.9739971160888672,ate_ood_hinge,validation_ood,100,0.9987474679946899,1.4236599206924438,static_ate,"[0.210773766040802, 0.12393359839916229, 0.21182285249233246, 0.22918346524238586, 0.2242862731218338, 0.0]","[0.1667456030845642, 0.1665179580450058, 0.16703420877456665, 0.16651205718517303, 0.16668114066123962, 0.1665090024471283]",2,11001730,reconstructed from saved stream and validate generation order,0.049185872077941895,,,,
1.58355712890625,1.1211118078335858e-07,True,"[1.647536039352417, 1.1713173389434814, 1.6683051586151123, 1.6670235395431519, 1.569169521331787, 1.8795959949493408]",1.5835572481155396,0.006692850962281227,1.0,1.4004743099212646,ate_ood_hinge,validation_ood,100,0.9986168146133423,1.466999888420105,static_ate,"[0.20764097571372986, 0.11978024989366531, 0.2371782660484314, 0.22745521366596222, 0.20794528722763062, 0.0]","[0.16674724221229553, 0.16651828587055206, 0.16703520715236664, 0.16650964319705963, 0.1666819304227829, 0.16650770604610443]",3,11001731,reconstructed from saved stream and validate generation order,0.11655735969543457,,,,
0.802173376083374,0.0,True,"[0.6598108410835266, 1.4517011642456055, 0.7609291076660156, 0.8088979721069336, 0.6985068917274475, 0.7929154634475708]",0.802173376083374,0.006692850962281227,1.0,1.20623779296875,ate_ood_hinge,validation_ood,100,0.9986575841903687,0.44673413038253784,static_ate,"[0.24000059068202972, 0.0960557758808136, 0.18397930264472961, 0.2637939751148224, 0.21617037057876587, 0.0]","[0.16674484312534332, 0.16651730239391327, 0.16703471541404724, 0.16651244461536407, 0.1666824072599411, 0.166508287191391]",4,11001732,reconstructed from saved stream and validate generation order,0.3554392457008362,,,,
-0.7408441305160522,0.0,True,"[-0.6614935398101807, -0.9790034890174866, -0.7434272766113281, -0.7552047967910767, -0.7018679976463318, -0.8292088508605957]",-0.7408441305160522,0.006692850962281227,1.0,1.3048145771026611,ate_ood_multiplicative,validation_ood,100,0.9986880421638489,-0.7564421892166138,static_ate,"[0.2429186850786209, 0.09404860436916351, 0.21075324714183807, 0.26175057888031006, 0.19052883982658386, 0.0]","[0.16674867272377014, 0.16651900112628937, 0.16703523695468903, 0.1665078103542328, 0.16668175160884857, 0.1665075272321701]",1,11011729,reconstructed from saved stream and validate generation order,0.015598058700561523,,,,
0.6850495338439941,0.0,True,"[0.718954861164093, -0.14254571497440338, 0.8395524024963379, 0.7604567408561707, 0.8681796789169312, 0.7532671689987183]",0.6850495338439941,0.006692850962281227,1.0,1.4179937839508057,ate_ood_multiplicative,validation_ood,100,0.9988310933113098,0.43997257947921753,static_ate,"[0.21448536217212677, 0.12050560116767883, 0.2545086443424225, 0.20459531247615814, 0.20590506494045258, 0.0]","[0.16674832999706268, 0.16651882231235504, 0.16703562438488007, 0.1665084809064865, 0.16668234765529633, 0.16650639474391937]",2,11011730,reconstructed from saved stream and validate generation order,0.2450769543647766,,,,
0.16615018248558044,1.109558400713695e-08,True,"[0.11937414854764938, 0.29803481698036194, 0.20862793922424316, 0.16721250116825104, 0.10119964927434921, 0.28591713309288025]",0.16615019738674164,0.006692850962281227,1.0,1.1245521306991577,ate_ood_multiplicative,validation_ood,100,0.9989558458328247,-0.12978695333003998,static_ate,"[0.22704990208148956, 0.12571555376052856, 0.1932416409254074, 0.2320631891489029, 0.22192968428134918, 0.0]","[0.16674888134002686, 0.16651880741119385, 0.16703565418720245, 0.16650789976119995, 0.16668207943439484, 0.16650667786598206]",3,11011731,reconstructed from saved stream and validate generation order,0.2959371507167816,,,,
-0.7906811237335205,5.9306653810153875e-08,True,"[-0.6465142369270325, -0.6358115077018738, -0.8596118092536926, -0.9127321839332581, -0.8233064413070679, -0.9510628581047058]",-0.7906810641288757,0.006692850962281227,1.0,1.5068949460983276,ate_ood_multiplicative,validation_ood,100,0.9987539052963257,-0.6607608795166016,static_ate,"[0.25041642785072327, 0.09898591041564941, 0.2004549652338028, 0.2563934028148651, 0.19374926388263702, 0.0]","[0.1667480766773224, 0.16651907563209534, 0.1670348197221756, 0.1665090173482895, 0.166681170463562, 0.16650782525539398]",4,11011732,reconstructed from saved stream and validate generation order,0.12992018461227417,,,,
-0.21669481694698334,0.0,True,"[-0.30324384570121765, 0.45801228284835815, -0.30153003334999084, -0.22980482876300812, -0.31240105628967285, -0.283981055021286]",-0.21669481694698334,0.006692850962281227,1.0,1.3603888750076294,ate_ood_saturation,validation_ood,100,0.9987043142318726,-0.8518704175949097,static_ate,"[0.24690881371498108, 0.08854195475578308, 0.1655234396457672, 0.2836926579475403, 0.21533317863941193, 0.0]","[0.16674989461898804, 0.16651922464370728, 0.16703563928604126, 0.16650649905204773, 0.16668197512626648, 0.1665067970752716]",1,11021729,reconstructed from saved stream and validate generation order,0.6351756006479263,,,,
-0.8976564407348633,-7.843771498983187e-08,True,"[-0.9098466634750366, -0.8484933376312256, -0.8885133862495422, -0.9328213334083557, -0.8835269808769226, -0.21408890187740326]",-0.8976565003395081,0.006692850962281227,1.0,0.9905334115028381,ate_ood_saturation,validation_ood,100,0.998690664768219,-0.5549851655960083,static_ate,"[0.22822976112365723, 0.1160440519452095, 0.236705020070076, 0.22330588102340698, 0.19571520388126373, 0.0]","[0.16674812138080597, 0.16651877760887146, 0.1670350432395935, 0.16650864481925964, 0.16668158769607544, 0.16650785505771637]",2,11021730,reconstructed from saved stream and validate generation order,0.34267133474349976,,,,
