scenario,Mean pretrained weights,Pretrained,Uniform,Untrained seed 1729,Untrained seed 1730,Untrained seed 1731,Untrained seed 1732,Untrained seed 1733,Untrained mean
ate_linear,0.15534049544482803,0.15481245201269753,0.16511140210854425,0.1627015710814796,0.16270286418341567,0.1711253094699615,0.16807705980531173,0.1623956629611113,0.16540049350025596
ate_nonlinear,0.18326652656315048,0.18297770020355283,0.20926581910939046,0.20188345005459,0.1968625331740475,0.21732173657989473,0.21792516671336334,0.20221908682986084,0.20724239467035127
ate_randomized,0.1539042736898303,0.15371911828409848,0.15579396315905458,0.15763045789109134,0.15517635065783714,0.1578438188525974,0.1568594342246825,0.1549718138153624,0.15649637508831415
interference_linear,0.10244231212014117,0.10276305051285778,0.10992926858216566,0.11309160782536624,0.11270436061277773,0.09880320744947155,0.11258042368153975,0.10753528163273882,0.10894297624037882
interference_null,0.08719578278794264,0.08703431798155482,0.09070622417644093,0.09718382929480868,0.10185521831032322,0.08902507962911234,0.08523514537955028,0.08977755747551176,0.09261536601786126
interference_threshold,0.2905478933280616,0.28588416324704946,0.279042070562681,0.26460522187041097,0.26293883298486537,0.276004506788132,0.28562687349821025,0.2773470876898786,0.2733045045662994
Pooled,0.1621162139889919,0.16119846704030139,0.16830812461637984,0.16618268966962402,0.16537335998721067,0.16835394312819435,0.17105068388377578,0.16570774840074348,0.16733368501391013
