group,weight_linear,weight_orthogonal,weight_spline,weight_interaction,weight_piecewise,weight_design_or_null
0:111110,0.01947464086149578,0.012821511095710617,0.031183188327748145,0.025239755474822177,0.01876045290077465,0.0
0:111111,0.016410604233778426,0.008864779354004726,0.016357719365245153,0.01189610392539019,0.012465220798919712,0.01836940051133067
2:111111,0.009734105550204533,0.010744021011124294,0.013438671718038014,0.014259785028283768,0.008254859228319414,0.022907004773446822
