scenario,task,seed,method,group,normalized_entropy,oracle_top_choice,weight_linear,candidate_linear,eligible_linear,weight_orthogonal,candidate_orthogonal,eligible_orthogonal,weight_spline,candidate_spline,eligible_spline,weight_interaction,candidate_interaction,eligible_interaction,weight_piecewise,candidate_piecewise,eligible_piecewise,weight_design_or_null,candidate_design_or_null,eligible_design_or_null
ate_linear,0,80000000,Pretrained,0:111110,0.9733598069536444,0,0.24731193482875824,0.19188551604747772,True,0.09863151609897614,-0.7235838770866394,True,0.24471908807754517,0.23154772818088531,True,0.22071966528892517,0.18900403380393982,True,0.1886177808046341,0.3810330033302307,True,0.0,-0.37814390659332275,False
ate_linear,0,80000001,Pretrained,0:111110,0.9725149771244778,0,0.262848436832428,-1.0102689266204834,True,0.103730708360672,-1.1393439769744873,True,0.23165775835514069,-1.0461902618408203,True,0.23155814409255981,-0.9805403351783752,True,0.17020495235919952,-1.0693660974502563,True,0.0,-1.1559722423553467,False
ate_linear,0,80000002,Pretrained,0:111110,0.9832731880106039,0,0.23817721009254456,-1.169174075126648,True,0.12023263424634933,-1.2526640892028809,True,0.2422930747270584,-1.1493698358535767,True,0.2116331160068512,-1.2520066499710083,True,0.1876639574766159,-1.225211501121521,True,0.0,-0.4125726521015167,False
ate_linear,0,80000003,Pretrained,0:111110,0.9674825881841613,0,0.26244837045669556,-0.9896498918533325,True,0.09507643431425095,-0.9121313691139221,True,0.20670518279075623,-0.9779387712478638,True,0.2584061622619629,-1.006534457206726,True,0.17736384272575378,-0.9940849542617798,True,0.0,-1.3854659795761108,False
ate_linear,0,80000004,Pretrained,0:111110,0.979684401855704,0,0.25016143918037415,0.3705539405345917,True,0.11186584085226059,0.3080926537513733,True,0.19230389595031738,0.4619511067867279,True,0.23829367756843567,0.39851680397987366,True,0.20737507939338684,0.36740633845329285,True,0.0,-0.12888415157794952,False
ate_linear,0,80000005,Pretrained,0:111110,0.9836773079078452,0,0.22294971346855164,-0.4825858175754547,True,0.11524400115013123,-0.3014136552810669,True,0.20891092717647552,-0.5688804984092712,True,0.2336173951625824,-0.4525974988937378,True,0.21927793323993683,-0.38969704508781433,True,0.0,0.10221321135759354,False
ate_linear,0,80000006,Pretrained,0:111110,0.9695276304060879,0,0.2643708884716034,-0.3826337456703186,True,0.09798205643892288,-0.14715935289859772,True,0.18321967124938965,-0.24534152448177338,True,0.25444167852401733,-0.3454590439796448,True,0.19998568296432495,-0.25774213671684265,True,0.0,-0.7327887415885925,False
ate_linear,0,80000007,Pretrained,0:111110,0.9858210098994061,0,0.19880373775959015,1.0881812572479248,True,0.12188711017370224,0.918755054473877,True,0.22895732522010803,0.9919634461402893,True,0.22724580764770508,1.0570869445800781,True,0.22310593724250793,1.1685453653335571,True,0.0,1.5555272102355957,False
ate_linear,0,80000008,Pretrained,0:111110,0.9852073490950359,0,0.20536749064922333,1.5059353113174438,True,0.12028218060731888,1.1402308940887451,True,0.2376164048910141,1.5365432500839233,True,0.2250979095697403,1.6160656213760376,True,0.211636021733284,1.5026880502700806,True,0.0,2.1761817932128906,False
ate_linear,0,80000009,Pretrained,0:111110,0.9692283920657553,1,0.25391411781311035,-1.320618748664856,True,0.09547347575426102,-0.8402278423309326,True,0.20775920152664185,-1.2798360586166382,True,0.2593931257724762,-1.3297367095947266,True,0.18346001207828522,-1.2475565671920776,True,0.0,-1.3979870080947876,False
ate_linear,0,80000010,Pretrained,0:111110,0.9679784053748016,0,0.23548829555511475,1.1731077432632446,True,0.09414835274219513,1.925394058227539,True,0.18726931512355804,1.08230721950531,True,0.2767237424850464,1.1075259447097778,True,0.2063702940940857,1.048906683921814,True,0.0,0.8896855115890503,False
ate_linear,0,80000011,Pretrained,0:111110,0.9633134722281461,0,0.2487206608057022,0.5751607418060303,True,0.08541516959667206,1.0723590850830078,True,0.18411582708358765,0.6007853746414185,True,0.2683558762073517,0.673646092414856,True,0.21339242160320282,0.6957024335861206,True,0.0,0.3343992829322815,False
ate_linear,0,80000012,Pretrained,0:111110,0.968204611783558,0,0.24135905504226685,-1.6359124183654785,True,0.09567184001207352,-1.6804323196411133,True,0.2406773865222931,-1.6598011255264282,True,0.254323273897171,-1.6741809844970703,True,0.16796840727329254,-1.6234772205352783,True,0.0,-1.5417020320892334,False
ate_linear,0,80000013,Pretrained,0:111110,0.9809604607980927,0,0.22495342791080475,-0.5590077638626099,True,0.11061014235019684,-0.6405901312828064,True,0.22372083365917206,-0.5325349569320679,True,0.2408745437860489,-0.6245506405830383,True,0.19984112679958344,-0.6768342852592468,True,0.0,-0.09942842274904251,False
ate_linear,0,80000014,Pretrained,0:111110,0.983610349625751,0,0.24008098244667053,-0.8410192131996155,True,0.11726626753807068,-0.6415553092956543,True,0.20805829763412476,-0.8077026009559631,True,0.23098376393318176,-0.7588463425636292,True,0.20361067354679108,-0.8381484150886536,True,0.0,-0.3900620639324188,False
ate_linear,0,80000015,Pretrained,0:111110,0.9734697251954895,1,0.25308600068092346,-1.3122966289520264,True,0.10484989732503891,-1.4540653228759766,True,0.24408923089504242,-1.454172968864441,True,0.2279261201620102,-1.380801796913147,True,0.17004874348640442,-1.4320249557495117,True,0.0,-1.1622081995010376,False
ate_linear,0,80000016,Pretrained,0:111110,0.9880699637923563,0,0.23790380358695984,-0.380341112613678,True,0.1280766874551773,-0.3988487124443054,True,0.21073512732982635,-0.33379998803138733,True,0.21404865384101868,-0.32228097319602966,True,0.20923574268817902,-0.3450300693511963,True,0.0,-0.10307098180055618,False
ate_linear,0,80000017,Pretrained,0:111110,0.9742775205765952,1,0.2512519061565399,-0.8831611275672913,True,0.10107972472906113,-0.8493781089782715,True,0.22665131092071533,-0.9457502961158752,True,0.2361992746591568,-0.9299744367599487,True,0.18481779098510742,-0.7743251323699951,True,0.0,-0.83490389585495,False
ate_linear,0,80000018,Pretrained,0:111110,0.9763899654939927,0,0.27060163021087646,0.2124594897031784,True,0.11029345542192459,-0.050247449427843094,True,0.18906746804714203,0.2934204041957855,True,0.23186656832695007,0.22570087015628815,True,0.19817085564136505,0.28459885716438293,True,0.0,-0.8350380063056946,False
ate_linear,0,80000019,Pretrained,0:111110,0.9728091047109779,1,0.2602449059486389,-0.805536687374115,True,0.10154499113559723,-0.7461610436439514,True,0.20733872056007385,-0.7102261781692505,True,0.2467299848794937,-0.6820452809333801,True,0.18414142727851868,-0.7381554245948792,True,0.0,-0.989037275314331,False
ate_linear,0,80000020,Pretrained,0:111110,0.9773984875835889,0,0.2164267599582672,0.7217333316802979,True,0.10202047973871231,0.5953352451324463,True,0.240927591919899,0.8273413777351379,True,0.23069176077842712,0.8257259726524353,True,0.20993337035179138,0.8835163116455078,True,0.0,1.2666703462600708,False
ate_linear,0,80000021,Pretrained,0:111110,0.9740163536488693,0,0.24644917249679565,-0.9229874610900879,True,0.10159172862768173,-0.8100204467773438,True,0.22154881060123444,-0.9732902646064758,True,0.24780255556106567,-0.9640651941299438,True,0.1826077252626419,-1.0132532119750977,True,0.0,-0.8425042033195496,False
ate_linear,0,80000022,Pretrained,0:111110,0.9858713767487691,0,0.20448040962219238,0.8955286741256714,True,0.12104212492704391,0.7650081515312195,True,0.22536006569862366,0.8681114912033081,True,0.22861012816429138,0.8876044750213623,True,0.22050727903842926,0.9482553005218506,True,0.0,1.1115741729736328,False
ate_linear,0,80000023,Pretrained,0:111110,0.9501735759872192,0,0.25051888823509216,0.1280260533094406,True,0.08306191116571426,1.2456409931182861,True,0.1449209451675415,0.1564435511827469,True,0.2972303032875061,0.08917777985334396,True,0.22426792979240417,0.16596826910972595,True,0.0,-0.059623997658491135,False
ate_linear,0,80000024,Pretrained,0:111110,0.9826970801365675,0,0.2516837418079376,-0.8345464468002319,True,0.11924360692501068,-1.0533514022827148,True,0.22722367942333221,-0.8703776001930237,True,0.21369804441928864,-0.8153324127197266,True,0.18815091252326965,-0.8326879143714905,True,0.0,-0.6382116079330444,False
