scenario,seed,Mean pretrained weights,Pretrained,Uniform,Untrained seed 1729,Untrained seed 1730,Untrained seed 1731,Untrained seed 1732,Untrained seed 1733,Untrained mean
ate_linear,80000000,0.13616940577668046,0.1262889077250371,0.21864968736809587,0.16974845727127885,0.09589350422066545,0.18190662016314363,0.34475296934288835,0.22406845365804529,0.20327400093120432
ate_linear,80000001,0.2144459670998723,0.2121794408776433,0.2261672562577398,0.2152093833901555,0.22668053569575852,0.22528662147304124,0.22407950820705003,0.23341562213679856,0.22493433418056075
ate_linear,80000002,0.2277528692638422,0.2304330517208124,0.22320799125786062,0.21418864025230655,0.22676259769554385,0.21825355781669864,0.21735078586693057,0.22296685470695743,0.2199044872676874
ate_linear,80000003,0.015541789895728186,0.013909218675330237,0.022850046521857292,0.013401863939002112,0.027264831430152014,0.015492258435919837,0.024665294057562903,0.027212319738104895,0.02160731352014835
ate_linear,80000004,0.03596255127623804,0.033654033581764775,0.0278048748178793,0.02342244927123316,0.052816211621315556,0.02144333664611109,0.023814945857079106,0.03244864885047205,0.030789118449242193
ate_linear,80000005,0.1138922111217539,0.11102612177772925,0.0977005736057322,0.08185545961304114,0.11499132077141211,0.07864986221237585,0.09163842956467078,0.09391136328621313,0.0922092870895426
ate_linear,80000006,0.02832249385512675,0.035899078671105755,0.011594718519814862,0.022333776775964154,0.001690661732324017,0.022869741741784466,0.01200193745292033,0.00748870355285014,0.013276964251168621
ate_linear,80000007,0.17657916340505153,0.17555408272420436,0.16409631762181798,0.16680817398702175,0.18136815819417507,0.1380689600435403,0.1872652033296731,0.17430119309102565,0.1695623377290872
ate_linear,80000008,0.260528658448411,0.2565430150615702,0.2235121951686867,0.2126226173030863,0.277013991891099,0.17815694671745397,0.24836168151970006,0.24458358150596715,0.2321477637874613
ate_linear,80000009,0.17189026373729255,0.16226649779185798,0.21391354102000726,0.17705667513713386,0.2450177719007447,0.18757308024272468,0.21698558825358893,0.23284745711192634,0.2118961145292237
ate_linear,80000010,0.021056736114267283,0.00793846905494111,0.09223614990973861,0.07248529255652802,0.001277292373422556,0.18413933575415986,0.004983747604135447,0.05090292752051728,0.06275771916175263
ate_linear,80000011,0.45077470080620996,0.44143244759804956,0.49046445624596824,0.47934976355798,0.46504125134713403,0.5285268737531399,0.4904404594159817,0.4577200724340176,0.4842156841016506
ate_linear,80000012,0.21725923796388735,0.21823866148683657,0.21943466444704174,0.21903342982027163,0.22209853907320132,0.21202082415315737,0.2197526194641315,0.22117228289339175,0.2188155390808307
ate_linear,80000013,0.4767023208312189,0.4763629319838678,0.48162319685737254,0.49883811499396913,0.4684773566893732,0.49761949803153627,0.4847487690619623,0.48305104996482484,0.4865469577483331
ate_linear,80000014,0.024228869888943905,0.023797451470059627,0.010119973633450852,0.01687717339770245,0.001001535866421932,0.006452619049710506,0.0001953850053126871,0.001977025482815975,0.00530074776039271
ate_linear,80000015,0.06431821034068741,0.06261172936076798,0.07151878521556543,0.0651405160200087,0.07275596306438126,0.08075431034679093,0.06440654442424454,0.08476463005656876,0.07356439278239883
ate_linear,80000016,0.23314356993651408,0.23141861151671428,0.22844604443526284,0.2314335722825529,0.23690310310339946,0.23204302977538127,0.23099962066626567,0.2295816857717039,0.23219220231986065
